Member_number,Date,itemDescription
1614,21/10/2015,napkins
4251,17/1/2015,pastry
4064,17/9/2015,butter milk
4629,24/2/2015,whole milk
4249,4/12/2015,other vegetables
2798,22/8/2015,pastry
4944,6/9/2015,bottled beer
4495,16/12/2015,beef
4524,2/5/2015,specialty bar
2941,26/9/2015,yogurt
2862,8/8/2015,long life bakery product
3248,19/6/2015,pork
1001,14/4/2015,white bread
2104,20/10/2015,cream cheese 
2083,19/6/2015,other vegetables
1932,27/6/2015,tropical fruit
3760,3/11/2015,soda
2894,14/3/2015,newspapers
3590,9/1/2015,citrus fruit
4616,14/2/2015,condensed milk
2527,20/1/2015,meat
2327,6/7/2015,pip fruit
4091,25/2/2015,whole milk
4735,1/4/2015,whole milk
4195,4/5/2015,other vegetables
1017,16/5/2015,rolls/buns
4115,22/5/2015,waffles
1339,5/5/2015,whole milk
4037,29/12/2015,root vegetables
2789,1/6/2015,grapes
1620,20/8/2015,yogurt
4656,27/1/2015,cat food
4795,30/7/2015,sliced cheese
3843,4/9/2015,grapes
4710,20/4/2015,pasta
1090,4/10/2015,yogurt
1539,7/4/2015,margarine
2114,24/5/2015,soups
4236,13/10/2015,canned beer
4727,6/10/2015,root vegetables
1967,23/6/2015,seasonal products
1584,31/1/2015,whole milk
4883,28/8/2015,other vegetables
4039,19/1/2015,vinegar
3927,9/12/2015,rolls/buns
3594,11/9/2015,other vegetables
4129,7/11/2015,margarine
2616,16/5/2015,pip fruit
2539,15/11/2015,tropical fruit
2556,28/8/2015,pastry
3855,18/6/2015,domestic eggs
2089,15/10/2015,cream cheese 
2466,28/8/2015,whole milk
1211,19/4/2015,other vegetables
1370,5/7/2015,chocolate
3779,10/10/2015,domestic eggs
3498,31/3/2015,root vegetables
1613,6/4/2015,whipped/sour cream
1176,17/8/2015,other vegetables
4027,29/6/2015,pip fruit
4389,17/12/2015,liquor
2578,28/5/2015,root vegetables
1342,19/2/2015,pastry
2210,7/9/2015,rolls/buns
4807,8/4/2015,waffles
2799,10/9/2015,pickled vegetables
2957,27/11/2015,grapes
3566,14/12/2015,pork
4768,13/3/2015,flour
4853,4/10/2015,whole milk
3791,25/3/2015,yogurt
3235,14/11/2015,long life bakery product
3866,7/7/2015,whole milk
4385,17/11/2015,margarine
4938,10/12/2015,other vegetables
1528,15/9/2015,chicken
4273,21/3/2015,whole milk
1329,23/5/2015,whipped/sour cream
4158,11/11/2015,domestic eggs
1558,6/4/2015,other vegetables
4782,31/5/2015,berries
4606,15/5/2015,dishes
3066,5/5/2015,other vegetables
2299,10/11/2015,newspapers
3677,1/9/2015,domestic eggs
3947,13/6/2015,liver loaf
2475,23/7/2015,napkins
4677,9/4/2015,rolls/buns
1890,27/5/2015,specialty chocolate
3645,5/12/2015,rolls/buns
4951,24/11/2015,pip fruit
1718,14/3/2015,frozen vegetables
1304,17/8/2015,whole milk
2018,25/8/2015,chocolate
3232,10/6/2015,ice cream
4905,25/11/2015,other vegetables
1238,1/3/2015,margarine
4892,13/4/2015,make up remover
4152,18/6/2015,sugar
1790,5/2/2015,other vegetables
1874,10/2/2015,other vegetables
4708,6/6/2015,processed cheese
3852,1/4/2015,other vegetables
4688,8/5/2015,rolls/buns
1042,16/10/2015,other vegetables
4908,20/5/2015,soda
1780,12/7/2015,rolls/buns
1438,11/5/2015,beef
1265,19/1/2015,other vegetables
3669,10/2/2015,white bread
2412,13/3/2015,hard cheese
1818,10/9/2015,specialty bar
2601,27/6/2015,ready soups
1905,31/7/2015,whole milk
1407,26/6/2015,citrus fruit
3754,2/1/2015,whole milk
2743,5/5/2015,dog food
2211,22/9/2015,canned beer
4138,12/6/2015,light bulbs
4141,12/11/2015,pot plants
4826,15/6/2015,other vegetables
2685,7/10/2015,yogurt
3793,2/7/2015,rolls/buns
4687,23/9/2015,other vegetables
2277,18/1/2015,shopping bags
4518,20/7/2015,rice
1997,28/12/2015,pip fruit
4114,7/8/2015,salty snack
1097,25/9/2015,whipped/sour cream
2568,22/9/2015,flour
1997,20/8/2015,newspapers
4987,7/1/2015,waffles
2404,2/6/2015,flour
1619,4/3/2015,jam
3640,13/3/2015,domestic eggs
4537,27/10/2015,salty snack
3519,30/7/2015,hamburger meat
3587,8/6/2015,hair spray
1232,1/7/2015,grapes
2597,15/8/2015,soda
1878,10/1/2015,soda
2860,1/3/2015,shopping bags
4006,14/6/2015,root vegetables
4536,13/9/2015,dessert
4180,4/6/2015,whole milk
1384,23/3/2015,other vegetables
3322,11/10/2015,yogurt
2543,13/8/2015,cream cheese 
3763,27/6/2015,whole milk
4459,8/2/2015,hamburger meat
2736,25/5/2015,soda
1549,18/3/2015,beef
2047,20/12/2015,frozen vegetables
3754,22/1/2015,hamburger meat
2667,16/6/2015,fruit/vegetable juice
1829,19/6/2015,pork
1376,30/6/2015,soda
2953,4/1/2015,frozen fruits
3465,14/6/2015,berries
3120,23/12/2015,berries
1301,7/1/2015,soda
1865,18/10/2015,dessert
2772,4/12/2015,napkins
1875,22/5/2015,berries
3358,29/3/2015,bottled beer
3255,5/11/2015,frozen dessert
3877,27/5/2015,berries
1480,24/8/2015,packaged fruit/vegetables
2850,27/3/2015,finished products
1699,7/7/2015,chicken
3258,20/5/2015,rum
4717,3/5/2015,tropical fruit
3307,28/6/2015,bottled water
2332,15/12/2015,root vegetables
2431,27/10/2015,newspapers
2312,26/3/2015,red/blush wine
2232,15/1/2015,specialty chocolate
3998,14/12/2015,berries
3054,28/6/2015,pip fruit
4550,26/3/2015,chicken
1075,20/7/2015,frozen meals
3898,11/4/2015,pork
3374,27/8/2015,pork
4262,25/4/2015,other vegetables
1151,17/9/2015,pip fruit
3669,17/1/2015,white wine
4222,27/12/2015,tropical fruit
1914,4/6/2015,rolls/buns
1306,20/11/2015,chocolate marshmallow
4229,20/8/2015,other vegetables
2145,12/12/2015,coffee
1977,12/1/2015,beef
4552,19/6/2015,soda
4013,18/3/2015,root vegetables
4566,30/8/2015,pastry
3111,23/12/2015,white bread
3699,12/12/2015,pastry
2895,14/8/2015,hamburger meat
3868,19/8/2015,domestic eggs
3215,24/4/2015,curd
2461,4/10/2015,whole milk
1452,25/11/2015,other vegetables
4618,16/12/2015,sliced cheese
4721,23/5/2015,canned vegetables
2712,21/6/2015,grapes
1458,24/8/2015,canned beer
3746,9/11/2015,tropical fruit
3596,20/4/2015,citrus fruit
4120,11/12/2015,pip fruit
3215,21/7/2015,canned beer
1674,2/4/2015,shopping bags
3310,14/5/2015,white bread
4783,1/6/2015,chewing gum
3741,14/6/2015,pastry
2466,10/10/2015,whole milk
1653,7/12/2015,frozen vegetables
2070,28/6/2015,spread cheese
1749,4/1/2015,specialty cheese
2625,18/2/2015,whole milk
3002,21/1/2015,grapes
1064,25/7/2015,root vegetables
2127,19/11/2015,bottled beer
4392,16/8/2015,margarine
1649,26/5/2015,salty snack
4375,29/4/2015,soda
1699,25/9/2015,margarine
2682,1/12/2015,herbs
2022,3/6/2015,other vegetables
2669,29/3/2015,bottled beer
3025,19/10/2015,herbs
3019,19/12/2015,soda
4801,4/8/2015,butter milk
3679,25/9/2015,brown bread
3380,16/2/2015,yogurt
3354,29/11/2015,canned fish
1756,23/9/2015,onions
3172,1/3/2015,pickled vegetables
3341,15/12/2015,hamburger meat
1113,5/8/2015,specialty bar
3339,8/12/2015,whole milk
3015,10/10/2015,white bread
3144,27/4/2015,pip fruit
4106,6/3/2015,yogurt
1798,1/1/2015,pastry
1493,22/5/2015,yogurt
4454,23/12/2015,bottled water
2935,9/1/2015,canned beer
3328,12/9/2015,shopping bags
3915,30/9/2015,pip fruit
1968,21/8/2015,margarine
4355,13/3/2015,misc. beverages
1580,7/8/2015,pip fruit
3703,24/1/2015,domestic eggs
1497,18/4/2015,liquor (appetizer)
1340,13/3/2015,whole milk
1102,27/6/2015,white bread
4223,7/10/2015,pastry
4190,27/12/2015,soda
4695,22/7/2015,margarine
1421,23/2/2015,citrus fruit
3293,9/5/2015,bottled beer
3543,25/2/2015,brown bread
1153,26/10/2015,soft cheese
4097,14/11/2015,other vegetables
1073,3/12/2015,brown bread
3390,21/2/2015,yogurt
1768,19/5/2015,other vegetables
1186,26/4/2015,whole milk
4138,4/9/2015,yogurt
2816,11/10/2015,other vegetables
2568,19/5/2015,other vegetables
4512,7/3/2015,butter
1628,19/11/2015,pastry
3911,5/3/2015,brown bread
3736,31/3/2015,whole milk
4644,2/7/2015,other vegetables
1583,31/5/2015,pastry
3338,17/8/2015,snack products
2427,8/1/2015,butter
1302,26/8/2015,butter
4499,29/10/2015,berries
1785,3/2/2015,grapes
3961,24/12/2015,bottled water
2326,16/7/2015,whole milk
1319,18/8/2015,grapes
2370,6/5/2015,UHT-milk
3118,27/3/2015,citrus fruit
1067,5/3/2015,tropical fruit
2870,25/10/2015,beef
3843,17/10/2015,flower (seeds)
1978,6/3/2015,brown bread
1849,25/6/2015,soda
4077,4/8/2015,other vegetables
2494,3/9/2015,UHT-milk
1442,31/8/2015,misc. beverages
3840,28/7/2015,yogurt
4288,26/5/2015,white wine
4877,14/6/2015,domestic eggs
3215,31/1/2015,tropical fruit
2425,20/2/2015,other vegetables
2345,17/12/2015,whole milk
1967,27/10/2015,grapes
2231,3/12/2015,whipped/sour cream
3946,13/2/2015,whipped/sour cream
3062,1/8/2015,rolls/buns
2389,13/11/2015,rolls/buns
3599,21/11/2015,whipped/sour cream
1737,5/9/2015,condensed milk
3612,24/6/2015,flour
4070,27/7/2015,other vegetables
3206,29/6/2015,curd
4065,5/5/2015,canned beer
3804,21/6/2015,butter milk
3308,23/10/2015,brown bread
2594,21/5/2015,whole milk
4521,15/9/2015,chewing gum
2226,20/2/2015,pork
3620,16/5/2015,whole milk
1277,23/10/2015,other vegetables
3704,28/9/2015,yogurt
3815,27/6/2015,rolls/buns
1724,23/7/2015,canned beer
1619,29/10/2015,root vegetables
2193,30/9/2015,whole milk
4319,26/10/2015,hard cheese
1836,8/9/2015,herbs
1593,31/1/2015,other vegetables
4082,18/1/2015,brandy
2934,13/9/2015,UHT-milk
2577,26/1/2015,other vegetables
4944,3/10/2015,semi-finished bread
3439,25/8/2015,canned beer
2475,7/5/2015,fish
2492,11/5/2015,other vegetables
2337,10/5/2015,waffles
4779,9/11/2015,chewing gum
2661,1/5/2015,tropical fruit
1136,3/11/2015,whole milk
4286,12/9/2015,photo/film
2810,29/1/2015,butter
3294,10/4/2015,onions
1567,1/4/2015,pot plants
4381,19/8/2015,chicken
2340,10/10/2015,whole milk
2570,24/8/2015,oil
4922,17/12/2015,butter
1339,23/5/2015,other vegetables
2245,3/4/2015,yogurt
3583,23/9/2015,whole milk
3469,20/5/2015,hard cheese
4092,29/3/2015,beef
1629,8/6/2015,tropical fruit
4763,28/10/2015,hard cheese
4202,2/12/2015,pip fruit
2314,2/11/2015,other vegetables
2903,2/8/2015,other vegetables
4320,11/12/2015,whipped/sour cream
4810,15/8/2015,dog food
1700,30/10/2015,other vegetables
3272,21/6/2015,yogurt
3762,20/8/2015,rolls/buns
1125,12/5/2015,shopping bags
3500,31/1/2015,pastry
1174,26/1/2015,whipped/sour cream
4875,26/10/2015,whole milk
4871,19/9/2015,whole milk
3009,14/8/2015,tropical fruit
3593,20/9/2015,grapes
4954,24/9/2015,whole milk
4864,5/11/2015,baking powder
4464,4/3/2015,sugar
3089,17/10/2015,soda
3764,10/11/2015,dog food
1804,26/1/2015,cream cheese 
4804,14/7/2015,sliced cheese
3545,30/11/2015,whipped/sour cream
3904,30/1/2015,whipped/sour cream
1893,11/1/2015,fruit/vegetable juice
3418,13/3/2015,detergent
3694,10/2/2015,rolls/buns
2613,3/2/2015,yogurt
3141,16/11/2015,other vegetables
4501,26/3/2015,berries
3424,1/5/2015,root vegetables
2564,12/5/2015,pastry
2575,22/2/2015,beef
4507,15/8/2015,citrus fruit
1492,29/1/2015,cream cheese 
1514,8/4/2015,citrus fruit
1732,29/5/2015,long life bakery product
3161,12/6/2015,frozen dessert
3094,6/10/2015,grapes
1585,7/1/2015,yogurt
1707,9/6/2015,whipped/sour cream
2467,9/6/2015,other vegetables
2143,12/2/2015,onions
2088,9/2/2015,pastry
2814,8/1/2015,yogurt
3940,9/3/2015,root vegetables
4177,15/6/2015,canned beer
4260,19/10/2015,whipped/sour cream
2169,1/11/2015,salty snack
1612,6/11/2015,frozen vegetables
1464,3/6/2015,dessert
3870,21/2/2015,yogurt
3253,20/6/2015,frozen fish
2784,13/11/2015,margarine
2548,11/11/2015,pork
4064,10/2/2015,coffee
2309,23/3/2015,yogurt
3104,13/5/2015,whole milk
2849,24/11/2015,yogurt
3461,26/6/2015,soda
1601,2/12/2015,soda
3701,15/4/2015,long life bakery product
3955,23/11/2015,root vegetables
4719,28/12/2015,whole milk
1690,21/8/2015,curd
1315,26/8/2015,rolls/buns
3772,18/2/2015,waffles
3797,16/9/2015,butter
3515,3/7/2015,rolls/buns
4163,13/3/2015,soda
1374,5/8/2015,rolls/buns
2775,7/1/2015,chicken
3937,25/4/2015,citrus fruit
3166,14/3/2015,UHT-milk
1805,9/6/2015,pork
2624,21/5/2015,specialty chocolate
4072,14/8/2015,canned beer
1794,17/9/2015,bottled beer
3673,27/8/2015,specialty bar
2696,2/9/2015,pip fruit
1991,9/12/2015,other vegetables
2321,26/1/2015,other vegetables
2636,19/5/2015,margarine
4721,6/7/2015,grapes
3051,9/2/2015,napkins
1705,20/7/2015,cream cheese 
4714,30/8/2015,specialty chocolate
1327,8/6/2015,instant coffee
4719,26/9/2015,specialty bar
3185,2/3/2015,pastry
3621,5/3/2015,other vegetables
3308,17/7/2015,soda
1915,7/8/2015,soda
2753,8/9/2015,cream cheese 
2792,24/10/2015,root vegetables
1723,8/12/2015,margarine
4398,8/11/2015,soda
4667,25/8/2015,cream cheese 
2691,5/2/2015,pip fruit
1636,5/12/2015,other vegetables
2681,2/5/2015,fruit/vegetable juice
3854,19/3/2015,shopping bags
2571,17/7/2015,sugar
3789,12/10/2015,salty snack
4119,15/4/2015,whole milk
3099,18/7/2015,whole milk
1213,7/2/2015,fruit/vegetable juice
2294,31/8/2015,ice cream
2149,23/5/2015,salty snack
4019,28/8/2015,sauces
4167,6/9/2015,condensed milk
2885,19/11/2015,bottled water
4706,23/11/2015,chocolate
3786,11/5/2015,zwieback
2019,18/2/2015,flour
4675,31/10/2015,pastry
4042,30/4/2015,citrus fruit
2102,14/2/2015,root vegetables
2240,1/12/2015,white bread
2151,16/7/2015,other vegetables
3878,24/7/2015,rolls/buns
4235,25/9/2015,bottled water
4817,20/12/2015,dishes
1992,28/8/2015,rolls/buns
3407,25/3/2015,tropical fruit
3668,22/10/2015,brandy
3500,21/7/2015,misc. beverages
1874,15/6/2015,pastry
1343,1/11/2015,specialty chocolate
3234,16/8/2015,tropical fruit
1430,27/10/2015,white wine
3772,27/9/2015,cake bar
2981,10/3/2015,whole milk
1287,28/1/2015,pip fruit
1500,8/3/2015,pasta
2193,14/4/2015,yogurt
1997,21/7/2015,white bread
4546,3/9/2015,whipped/sour cream
4736,21/7/2015,yogurt
1959,30/3/2015,specialty chocolate
1974,3/5/2015,specialty chocolate
2421,2/9/2015,margarine
1513,3/8/2015,other vegetables
1905,7/7/2015,butter
2810,8/9/2015,soda
2867,12/11/2015,citrus fruit
3962,18/9/2015,sliced cheese
1088,30/11/2015,domestic eggs
4976,17/7/2015,liquor
4056,12/6/2015,chewing gum
3611,13/2/2015,curd
1420,14/1/2015,newspapers
4286,8/3/2015,butter
4918,27/1/2015,spices
4783,22/10/2015,whole milk
3709,26/10/2015,pork
4289,8/10/2015,curd
1559,3/10/2015,semi-finished bread
2900,11/4/2015,whole milk
1905,21/2/2015,domestic eggs
3527,29/9/2015,dessert
1495,9/1/2015,packaged fruit/vegetables
3558,3/4/2015,rolls/buns
3128,20/4/2015,soda
1863,4/8/2015,UHT-milk
3841,19/7/2015,frozen vegetables
3903,6/10/2015,condensed milk
2658,16/10/2015,semi-finished bread
4272,6/6/2015,cream cheese 
1120,26/9/2015,tropical fruit
2676,15/8/2015,canned beer
1697,21/5/2015,beverages
2507,25/8/2015,coffee
4620,11/3/2015,semi-finished bread
3365,1/2/2015,whole milk
2978,5/6/2015,other vegetables
2910,28/7/2015,soda
1061,5/9/2015,Instant food products
3276,3/4/2015,frozen vegetables
1326,19/6/2015,condensed milk
3023,28/7/2015,yogurt
2185,11/10/2015,other vegetables
3552,16/6/2015,chewing gum
1967,20/1/2015,hard cheese
4708,20/3/2015,specialty bar
2874,15/2/2015,other vegetables
4177,13/4/2015,butter
1663,7/2/2015,whole milk
2632,2/3/2015,long life bakery product
1377,14/3/2015,fruit/vegetable juice
4162,22/12/2015,pip fruit
2270,1/7/2015,specialty bar
4829,3/11/2015,yogurt
3811,14/4/2015,whole milk
4766,29/9/2015,canned beer
2436,12/4/2015,liquor
3860,5/5/2015,specialty cheese
4875,12/5/2015,roll products 
1587,1/7/2015,hard cheese
4038,8/7/2015,newspapers
4750,21/9/2015,shopping bags
1199,10/12/2015,bottled water
1603,30/9/2015,whole milk
3111,31/1/2015,other vegetables
3894,13/12/2015,curd
1456,18/9/2015,specialty chocolate
2022,4/3/2015,hard cheese
2505,30/11/2015,whole milk
4851,20/12/2015,tropical fruit
4293,4/8/2015,cream cheese 
2775,6/11/2015,frozen vegetables
3693,18/2/2015,whole milk
1202,22/7/2015,semi-finished bread
3699,23/8/2015,brown bread
4152,15/4/2015,pip fruit
4155,26/1/2015,oil
4010,29/12/2015,brown bread
4389,20/10/2015,soft cheese
3746,17/8/2015,pip fruit
2560,17/5/2015,bottled water
1503,25/7/2015,fruit/vegetable juice
2555,23/12/2015,fruit/vegetable juice
3645,12/12/2015,bottled water
3886,11/9/2015,other vegetables
2932,20/3/2015,rolls/buns
1711,18/6/2015,white bread
4291,8/12/2015,chocolate marshmallow
1143,25/4/2015,sugar
4564,8/7/2015,nuts/prunes
3337,14/5/2015,waffles
4931,4/5/2015,pip fruit
2623,10/10/2015,margarine
4581,3/4/2015,onions
2635,11/6/2015,rolls/buns
1095,30/10/2015,domestic eggs
2990,23/5/2015,brown bread
2426,5/6/2015,tropical fruit
4555,7/11/2015,canned beer
3635,4/9/2015,brown bread
3058,18/5/2015,rolls/buns
4391,26/3/2015,tropical fruit
1306,23/6/2015,yogurt
1024,10/8/2015,other vegetables
1295,23/7/2015,dessert
1661,1/6/2015,pip fruit
4591,15/5/2015,yogurt
3169,14/6/2015,herbs
3915,21/5/2015,cream cheese 
1127,14/1/2015,margarine
4828,8/8/2015,salt
3683,10/6/2015,ice cream
1971,18/9/2015,frozen meals
3014,11/11/2015,napkins
3779,15/9/2015,berries
2489,4/5/2015,cake bar
3564,27/6/2015,coffee
4092,30/9/2015,butter
3221,13/1/2015,sweet spreads
1279,6/9/2015,rolls/buns
2581,22/8/2015,frozen meals
2295,25/2/2015,fruit/vegetable juice
4760,22/2/2015,dessert
3649,16/1/2015,yogurt
1075,19/11/2015,fruit/vegetable juice
3987,19/8/2015,domestic eggs
4106,25/8/2015,margarine
4338,24/6/2015,white bread
4166,6/11/2015,whole milk
1211,10/3/2015,yogurt
3954,21/1/2015,rice
3928,18/7/2015,bottled beer
3827,30/9/2015,tropical fruit
4699,8/2/2015,root vegetables
4747,8/6/2015,root vegetables
3028,9/6/2015,other vegetables
2851,16/3/2015,spread cheese
4417,25/2/2015,sugar
3822,7/3/2015,shopping bags
2288,31/5/2015,specialty bar
2184,30/6/2015,beef
1345,21/7/2015,napkins
4441,9/11/2015,hygiene articles
2540,16/2/2015,tropical fruit
1997,6/6/2015,processed cheese
2294,26/7/2015,bottled water
1523,28/3/2015,citrus fruit
3165,18/8/2015,herbs
4831,12/4/2015,whole milk
4073,2/11/2015,UHT-milk
3661,25/7/2015,white wine
2019,9/10/2015,white bread
1092,16/5/2015,other vegetables
4078,14/11/2015,newspapers
4753,21/6/2015,salty snack
1279,10/9/2015,citrus fruit
1012,19/11/2015,onions
2362,23/11/2015,candy
2789,6/2/2015,curd
3229,7/8/2015,frozen vegetables
1715,3/5/2015,frozen meals
4351,16/1/2015,whole milk
4397,27/6/2015,yogurt
3653,21/10/2015,pork
2730,10/11/2015,butter
4321,27/10/2015,rolls/buns
1086,17/11/2015,curd
1708,28/12/2015,pastry
4293,24/8/2015,soda
4524,22/4/2015,yogurt
3783,8/3/2015,soda
1460,24/6/2015,whipped/sour cream
2960,19/12/2015,yogurt
3442,12/10/2015,misc. beverages
4059,7/5/2015,curd
1822,3/3/2015,pip fruit
1584,10/7/2015,hygiene articles
1624,4/2/2015,fruit/vegetable juice
4877,6/11/2015,rum
1567,11/4/2015,shopping bags
2018,4/1/2015,coffee
1182,1/9/2015,whole milk
3401,2/8/2015,other vegetables
4547,18/1/2015,whole milk
3547,21/10/2015,meat
4831,6/4/2015,other vegetables
2851,1/1/2015,brown bread
3072,28/2/2015,yogurt
1398,15/4/2015,canned fruit
1779,28/10/2015,curd
1823,27/11/2015,curd
3360,14/11/2015,whole milk
1565,15/10/2015,tidbits
4321,8/5/2015,pip fruit
1293,5/3/2015,hard cheese
3331,25/7/2015,flour
2408,19/5/2015,dessert
2742,10/10/2015,onions
3934,1/5/2015,bottled beer
4742,22/6/2015,coffee
4405,22/7/2015,pastry
3229,25/3/2015,UHT-milk
2817,22/12/2015,chewing gum
2741,17/2/2015,waffles
3562,30/12/2015,shopping bags
4442,10/6/2015,whole milk
2022,5/2/2015,whole milk
4380,3/11/2015,bottled beer
3687,22/12/2015,coffee
2077,7/5/2015,coffee
3273,15/3/2015,butter
3736,27/11/2015,soda
3190,28/3/2015,yogurt
3295,28/7/2015,rum
3276,30/6/2015,canned beer
4405,6/1/2015,other vegetables
4266,31/7/2015,other vegetables
1372,25/6/2015,butter
1242,13/12/2015,pasta
4820,1/5/2015,chocolate
4702,8/11/2015,other vegetables
3687,16/7/2015,white bread
4115,20/3/2015,tropical fruit
2236,3/2/2015,root vegetables
1026,15/3/2015,dental care
2678,20/3/2015,fruit/vegetable juice
1934,4/8/2015,yogurt
3525,14/2/2015,oil
1354,29/11/2015,pastry
2782,9/4/2015,soda
4456,16/5/2015,other vegetables
4869,3/4/2015,flower (seeds)
2454,26/8/2015,soda
4222,20/8/2015,chocolate
1358,11/9/2015,yogurt
3393,15/2/2015,whole milk
1615,3/12/2015,whipped/sour cream
4734,12/7/2015,rolls/buns
4946,4/11/2015,coffee
2419,22/8/2015,pastry
4989,3/6/2015,rolls/buns
2961,27/5/2015,softener
2707,7/3/2015,shopping bags
2010,6/11/2015,specialty bar
1502,16/4/2015,yogurt
2600,29/4/2015,other vegetables
3603,30/1/2015,root vegetables
4352,14/4/2015,soda
1477,16/5/2015,liquor (appetizer)
4938,24/11/2015,other vegetables
2745,27/1/2015,butter milk
2738,9/11/2015,whole milk
4170,19/1/2015,yogurt
3776,17/5/2015,butter
1062,18/9/2015,butter
1546,3/1/2015,whipped/sour cream
2020,19/11/2015,pastry
2366,18/1/2015,whole milk
1107,3/1/2015,spread cheese
1407,29/7/2015,coffee
3718,26/2/2015,herbs
4808,26/7/2015,abrasive cleaner
2940,21/5/2015,root vegetables
3048,10/12/2015,pip fruit
3165,15/6/2015,butter milk
4306,28/12/2015,pastry
4302,5/11/2015,coffee
4516,29/3/2015,pip fruit
3582,31/3/2015,newspapers
1534,10/7/2015,bottled water
1844,24/7/2015,chewing gum
1218,5/7/2015,whole milk
4482,30/11/2015,yogurt
2574,11/12/2015,curd
2767,27/1/2015,other vegetables
2794,29/9/2015,margarine
4228,26/3/2015,bottled water
3062,8/6/2015,margarine
2365,21/6/2015,other vegetables
3775,7/7/2015,Instant food products
2232,6/5/2015,other vegetables
4156,3/8/2015,rolls/buns
3643,20/9/2015,sliced cheese
3470,4/10/2015,frozen meals
2602,11/12/2015,root vegetables
4796,10/6/2015,whole milk
3289,9/8/2015,yogurt
4470,31/3/2015,cream cheese 
2502,7/2/2015,berries
2205,7/3/2015,pastry
3201,21/1/2015,specialty chocolate
2882,25/6/2015,citrus fruit
2757,16/12/2015,other vegetables
3679,30/8/2015,other vegetables
2380,12/2/2015,rolls/buns
1825,6/10/2015,domestic eggs
2868,18/7/2015,beef
2709,20/8/2015,other vegetables
4585,16/7/2015,soda
2634,22/4/2015,other vegetables
4832,3/12/2015,ready soups
2032,28/7/2015,meat spreads
2061,27/12/2015,long life bakery product
2210,13/1/2015,rice
2346,5/8/2015,bottled beer
4315,26/4/2015,bottled water
4166,26/7/2015,butter
3907,25/10/2015,newspapers
2706,22/3/2015,detergent
2855,5/8/2015,frozen dessert
2074,10/4/2015,chocolate
2840,27/5/2015,canned beer
2247,31/5/2015,specialty bar
4063,14/7/2015,spices
4780,3/7/2015,beverages
1081,6/3/2015,whole milk
4843,2/3/2015,dessert
3246,27/8/2015,canned beer
4009,14/7/2015,yogurt
3697,3/10/2015,spread cheese
4579,29/10/2015,curd
3803,6/10/2015,newspapers
4108,21/7/2015,whole milk
1664,1/4/2015,curd
4179,6/3/2015,pickled vegetables
4172,18/2/2015,pastry
2851,17/2/2015,chewing gum
3385,22/6/2015,ice cream
1303,8/9/2015,canned fish
4487,22/1/2015,brown bread
2392,23/3/2015,whole milk
4218,3/10/2015,specialty fat
2891,2/7/2015,domestic eggs
4474,10/12/2015,sugar
4437,28/7/2015,butter milk
2648,8/11/2015,fruit/vegetable juice
1081,3/5/2015,bottled beer
3071,21/1/2015,domestic eggs
3409,20/5/2015,frozen vegetables
2768,1/1/2015,salt
3424,16/8/2015,yogurt
4610,19/4/2015,cream cheese 
3090,4/11/2015,berries
4585,1/5/2015,brown bread
4388,20/3/2015,tropical fruit
3751,1/1/2015,whole milk
2650,11/5/2015,coffee
2448,8/6/2015,root vegetables
2652,26/12/2015,soda
1385,19/11/2015,other vegetables
2960,31/8/2015,rolls/buns
2736,2/3/2015,processed cheese
1768,21/4/2015,rolls/buns
2002,20/10/2015,frozen vegetables
3046,18/11/2015,margarine
2284,18/3/2015,waffles
1708,18/9/2015,canned beer
1952,23/11/2015,tropical fruit
3497,8/9/2015,brown bread
1479,14/5/2015,rolls/buns
1237,9/4/2015,white bread
4353,24/8/2015,other vegetables
3528,18/8/2015,soda
2092,4/9/2015,rolls/buns
2514,2/11/2015,cake bar
4790,16/5/2015,dessert
1948,25/8/2015,dessert
3581,16/1/2015,yogurt
4778,26/3/2015,bottled water
2601,26/3/2015,whole milk
4678,31/3/2015,cling film/bags
3642,24/2/2015,rolls/buns
2957,19/9/2015,bottled beer
4585,28/9/2015,whole milk
3637,10/7/2015,salty snack
1353,9/2/2015,salty snack
3257,13/2/2015,dog food
2524,10/9/2015,dishes
2035,23/12/2015,prosecco
3658,26/9/2015,pip fruit
1901,29/11/2015,zwieback
3247,13/1/2015,spread cheese
4308,24/1/2015,detergent
1305,24/5/2015,whole milk
1011,9/12/2015,herbs
2234,29/7/2015,margarine
3744,8/12/2015,whole milk
2903,8/8/2015,soda
3036,12/7/2015,shopping bags
2465,27/12/2015,soda
1233,20/3/2015,soda
1366,29/5/2015,whole milk
3741,6/8/2015,shopping bags
2230,28/5/2015,other vegetables
1206,15/5/2015,soda
3690,24/4/2015,cake bar
3620,18/6/2015,onions
4759,20/2/2015,other vegetables
3543,11/10/2015,curd
2792,29/7/2015,sliced cheese
1929,10/7/2015,butter
2433,23/8/2015,rolls/buns
4941,15/1/2015,pickled vegetables
3547,7/10/2015,whole milk
1290,24/4/2015,margarine
4207,28/8/2015,dessert
2107,1/3/2015,margarine
3050,11/3/2015,soda
3814,21/7/2015,napkins
4875,13/9/2015,grapes
3691,8/8/2015,newspapers
2433,14/3/2015,chocolate
4757,9/1/2015,dishes
1407,29/4/2015,rolls/buns
4718,12/6/2015,curd
1240,14/4/2015,other vegetables
1792,15/8/2015,detergent
4486,9/11/2015,other vegetables
