title,year,description,genre,rating,users_rating,votes,languages,directors,actors,runtime
Kebun Binatang,2012,"Little Lana was 3 years old when she was abandoned alone in the zoo. Raised by a giraffe trainer, the zoo is the only world she knows. Until one day, a charming magician arrives and Lana finds her love, for she is ready to leave the zoo.",Drama,,6.2,273,Indonesian,Edwin,"['Ladya Cheryl', 'Nicholas Saputra', 'Adjie Nur Ahmad', 'Klarysa Aurelia', 'Dave Lumenta', 'Abizars', 'Ivan Gunawan', 'Nazyra C. Noer', 'Heidy Trisiana Triswan', 'Budi Hidayat', 'Maman Ahadiat Safarman Effendi', 'Yasfi Hakim', 'Budi Purbadi', nan, nan]",95 min
Keumala,2012,,Drama,,7.9,10,Indonesian,Andi Pulung Waluyo,"['Nadia Vega', 'Abimana Aryasatya', 'Arturo G.P.', 'Islamuddin', 'Shilla Vaqa Ismi', 'Syeh Jakaria', 'Mahdi', 'Cut Yanthi', nan, nan, nan, nan, nan, nan, nan]",104 min
Kung Fu Pocong Perawan,2012,,Comedy,,3.5,31,Indonesian,Yoyok Subagyo,"['Jessica Iskandar', 'Olga Syahputra', 'Daus Mini', 'Yadi Sembako', 'Rizky Putra', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",77 min
Kuntilanak-Kuntilanak,2012,A novelist with her daughter and her assistent move to the haunted house. And she want the custody of her daughter after divorce,Horror,,5.4,11,Indonesian,Nayato Fio Nuala,"['Niken Anjani', 'Adzwa Aurelline', 'Rikas Harsa', 'Reza Pahlevi', 'Chrissie Vanessa', 'Yafi Tesa Zahara', nan, nan, nan, nan, nan, nan, nan, nan, nan]",77 min
Kutukan Arwah Santet,2012,,Horror,,6.4,13,Indonesian,Hanny Mustofa,"['Julia Perez', 'Dwi A.P.', 'Ajeng', 'Jenny Cortez', 'Ozzy Dian', 'Erlando', 'Ruben Onsu', 'Robby Purba', 'Cinta Ratu', 'Samoedra Safera', nan, nan, nan, nan, nan]",81 min
Loe Gue End,2012,,Drama,,6.6,8,Indonesian,Awi Suryadi,"['Nadia Alexandria', 'Dimas Beck', 'Moudyzanya', 'Manohara Odelia', 'Amanda Soekasah', 'Kelly Tandiono', 'Martina Tesela', 'Dion Wiyoko', nan, nan, nan, nan, nan, nan, nan]",
Malaikat Tanpa Sayap,2012,,Drama,,7.8,71,Indonesian,Rako Prijanto,"['Adipati Dolken', 'Maudy Ayunda', 'Ikang Fawzi', ""Fauzan Ja'far"", 'Kinaryosih', 'Agus Kuncoro', 'Reza Pahlevi', 'Geccha Qheagaveta', 'Surya Saputra', nan, nan, nan, nan, nan, nan]",104 min
Mama Cake,2012,"Three best friends in adventure to buy the steamed brownies ""Mama Cake"" for one of their friend's dying grandmother. But every time after they already bought it, there must be a bad accident happen to them.",Comedy,,7.5,65,Indonesian,Anggy Umbara,"['Ananda Omesh', 'Boy William', 'Arie Dagienkz', 'Henidar Amroe', 'Candil', 'Andhara Early', 'Herichan', 'Dinda Kanyadewi', 'Kinaryosih', 'Renata Kusmanto', 'Ferry Maryadi', 'Tyas Mirasih', 'Erwin Moron', 'Bagus Netral', 'Piet Pagau']",137 min
Mata Tertutup,2012,,Drama,,6.3,40,Indonesian,Garin Nugroho,"['Eka Nusa Pertiwi', 'Jajang C. Noer', 'M. Dinu Imansyah', 'Taslim Idrus', 'Andriani Isna', 'Rijal Maj', 'Kedung Darma R.', 'Nanang Rakhmat', 'Dyah Arum Retnowati', 'Kukuh Riyadi', 'Tri Sasongko', 'Yoga Bagus Satatagama', 'Ign Wahono', 'Yesi Yoane', nan]",90 min
Misteri Pasar Kaget,2012,,Drama,,5.0,6,Indonesian,Wimbadi J.P.,"['Erly Ashy', 'Permata Sari Harahap', 'Liek Suyatno', 'Masroom Bara', 'Baron Hermanto', 'Roy Marten', 'Polo', 'Ava Solo', 'Chandra Sundawa', 'Yatti Surachman', nan, nan, nan, nan, nan]",79 min
Mother Keder: Emakku Ajaib Bener,2012,,Comedy,,6.2,6,Indonesian,Eko Nobel,"['Ira Maya Sopha', 'Qory Sandioriva', 'Jill Gladys', 'Pong Harjatmo', 'Athoy Herlambang', 'Zahra Nuraini', 'Yoga Prasetya', 'Yatti Surachman', nan, nan, nan, nan, nan, nan, nan]",91 min
My Last Love,2012,Angel (Donita) percaya bahwa cinta sejatinya adalah Hendra (Ajun Perwira). Laki-laki pilihan terbaiknya. Angel malah berkhayal suatu saat kelak hubungan kasih yang telah cukup lama mereka ...,Drama,,6.2,18,Indonesian,Nayato Fio Nuala,"['Donita', 'Caroline Elodie', 'Rozie Mahally', 'Jordi Onsu', 'Ayu Dyah Pasha', 'Ajun Perwira', 'Ranty Purnamasari', 'Boogie Samudra', 'Evan Sanders', 'Putri Una', nan, nan, nan, nan, nan]",88 min
Negeri 5 Menara,2012,"Six best friends in the Islamic Boarding School often hang out near the mosque towers. All of them made a promise under the tower that one day, they will go to places that they have been dreaming about.",Adventure,,6.9,176,Indonesian,Affandi Abdul Rachman,"['Donny Alamsyah', 'D. Syamrizal Ardiwinata', 'Ence Bagus', 'David Chalik', 'Ahmad Dhahnial', 'Rangga Djoned', 'Faizal', 'Arifal Faozi', 'Meirayni Fauziah', 'Ikang Fawzi', 'Sakurta H. Ginting', 'Hardy Hartono', 'Mario Irwiensyah', 'Khiva Iskak', 'Jiofani Lubis']",114 min
Nenek Gayung,2012,"This mysterious grandmother figure stirred up the masses. This grandmother was called Nenek Gayung, because she always brought a dipper and pandan mat to bathe her victims. Many had met ...",Comedy,,4.8,41,Indonesian,Nuri Dahlia,"['Aden Bajaj', 'Isa Bajaj', 'Melky Bajaj', 'Nikita Mirzani', 'Kiki Moh', 'Yurike Prastica', 'Kartika Putri', 'Joe Richard', 'Yadi Sembako', 'Tata Sivek', 'Mudy Taylor', 'Zacky Zimah', nan, nan, nan]",79 min
Pacarku Kuntilanak Kembar,2012,,Horror,,3.5,6,Indonesian,Nuri Dahlia,"['Nikita Mirzani', 'Rizky Mocil', 'Nicky Tirta', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",80 min
Parts of the Heart,2012,"8 stories about Peter, a gay man living in Jakarta from the age of 10 to 40 and his experiences with love that help to shape the man he is today.",Drama,,6.8,25,Indonesian,Paul Agusta,"['Joko Anwar', 'Endy Arfian', 'Bobby Asmoro', 'Tuhdil Haqiqi', 'Khiva Iskak', 'Dewi Lopez', 'Nazyra C. Noer', 'Rainer Oktovianus', 'Ade Firza Paloh', 'Elbert Powa', 'Ardy Rinaldy', 'Yohannes Simon Sanggor', 'Fachry Shyine', 'Arief Ash Siddiq', 'Jeffrey Sirie']",90 min
Perahu Kertas,2012,"Tidal relationship between two human beings, Kugy (Maudy Ayunda) and Keenan (Adipati Dolken). Kugy is a tomboyish girl, cheerful, and who believes that she is the agent of Neptune.",Drama,,7.0,519,Indonesian,Hanung Bramantyo,"['Maudy Ayunda', 'Adipati Dolken', 'Reza Rahadian', 'Afiqah', 'Amanina Datau', 'Titi Dwijayati', 'Sylvia Fully', 'Pierre Gruno', 'Sharena Gunawan', 'Kevin Julio', 'Ben Kasyafani', 'Dewi Lestari', 'Hayria Lonton', 'August Melasz', 'Elyzia Mulachela']",111 min
Perahu Kertas 2,2012,"The sequel to the ""Perahu Kertas"" movie follows Kugy (Maudy Ayunda) and Keenan (Adipati Dolken) as their relationship becomes more complicated.",Drama,,6.8,235,Indonesian,Hanung Bramantyo,"['Maudy Ayunda', 'Adipati Dolken', 'Reza Rahadian', 'Rifqa Amalsyita', 'Amanina Datau', 'Titi Dwijayati', 'Sylvia Fully', 'Sharena Gunawan', 'Rizky Julio', 'Ben Kasyafani', 'Hayria Lonton', 'August Melasz', 'Elyzia Mulachela', 'Tio Pakusadewo', 'Alfonso O. Rorimpandey']",100 min
Petualangan Singa Pemberani,2012,,Animation,,3.6,7,Indonesian,Lee Croudy,"['Giring Ganesha', 'Putri Titian', 'Özge Özpirinçci', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",92 min
Pulau Hantu 3,2012,,Horror,,4.6,29,Indonesian,Jose Poernomo,"['Shinta Bachir', 'Abdurrahman Arif', 'Boy Hamzah', 'Nicky Jutras', 'Jenny Cortez', 'Amel Alvie', 'Tasya Djerly Emor', 'Kadir Rosa Ibrahim', 'Zahra Jasmine', 'Ricky Komo', 'Laras Monca', 'Boy Rano', 'Reynavenzka', 'Aiko Sarwosri', 'Grace Veronica']",84 min
Radio Galau FM,2012,"Bara (Dimas Anggara), who wants to be a writer meets a junior named Velin (Natasha Rizki), a spoiled girl that later becomes his girlfriend. Then comes Diandra (Alisia Rininta), a senior who can make Bara feels comfortable.",Comedy,,6.4,115,Indonesian,Iqbal Rais,"['Dimas Anggara', 'Natasha Rizki', 'Alisia Rininta', 'Franda', 'Indri Giana', 'Delly Malik Muharyoso', 'Jordi Onsu', 'Joe Project P.', 'Tiara Sumiarto', 'Ramon Y. Tungka', 'Boy William', nan, nan, nan, nan]",94 min
"Rayya, Cahaya di Atas Cahaya",2012,,Drama,,7.6,42,Indonesian,Viva Westi,"['Tio Pakusadewo', 'Titi Rajo Bintang', 'Verdi Solaiman', 'Alex Abbad', 'Masayu Anastasia', 'Lila Azizah', 'Vedie Bellamy', 'Arie Dagienkz', 'Fanny Fabriana', 'Christine Hakim', 'Rico Marpaung', 'Bobby Rachman', 'Tino Saroengallo', nan, nan]",100 min
Republik Twitter,2012,"On Twitter, Sukmo is a cool smart guy and full of confidence. He looks handsome on his twitter time-line, making Sukmo easily accessible to anyone, including Hanum, a pretty and ...",Drama,,7.3,54,Indonesian,Kuntz Agus,"['Laura Basuki', 'Abimana Aryasatya', 'Ben Kasyafani', 'Jennifer Arnelita', 'Gary M. Iskak', 'Sammy Notaslimboy', 'Edi Oglek', 'Leroy Osmani', 'Otig Pakis', 'Tio Pakusadewo', 'Boy Rano', 'Enzy Storia', 'Nina Tamam', nan, nan]",105 min
Rumah Bekas Kuburan,2012,,Horror,,3.7,9,Indonesian,Irwan Siregar,"['Fifi Buntaran', 'Julia Perez', 'Vikri Rahmat', 'Diah Cempaka Sari', 'Toddyzilla', 'Adi Wahyu', nan, nan, nan, nan, nan, nan, nan, nan, nan]",79 min
Rumah Hantu Pasar Malam,2012,,Horror,,3.6,12,Indonesian,Arie Azis,"['Rebecca Reijman', 'Uli Auliani', 'Amel Alvie', 'Billy Chong', 'Kang Jaka', 'Rocky Jeff', 'Imey Liem', 'Awan Sogi', nan, nan, nan, nan, nan, nan, nan]",74 min
Rumah Kentang,2012,"Two siblings are forced to move into their mother's house after their mother died. Having heard countless rumors about that house is being haunted and called ""Rumah Kentang"", they try their best to sell the house but always failed.",Horror,,5.9,76,Indonesian,Jose Poernomo,"['Shandy Aulia', 'Tasya Kamila', 'Gilang Dirgahari', 'Ki Kusumo', 'Medina', 'Chintami Atmanegara', 'Iszur Muchtar', 'Rina Nose', 'Boy Rano', 'Daus Separo', 'Sonia Wibisono', nan, nan, nan, nan]",102 min
Rumah dan Musim Hujan,2012,"Meticulous family story set in an old Javan house. Outside, it's raining incessantly. The story's three parts, each with a relative as protagonist, reveal contradictions between faith, ...",Comedy,,7.4,65,Indonesian,Ifa Isfansyah,"['Tora Sudiro', 'Vino G. Bastian', 'Tara Basro', 'Landung Simatupang', 'Jajang C. Noer', 'Aulia Sarah', nan, nan, nan, nan, nan, nan, nan, nan, nan]",100 min
Rumah di Seribu Ombak,2012,,Drama,,7.0,29,Indonesian,Erwin Arnada,"['Risjad Aden', 'Tania Grace', 'Riman Jayadi', 'Andre Julian', 'Bianca Oleen', 'Dedey Rusma', 'Jerinx S.I.D.', 'Lukman Sardi', 'Andania Suri', nan, nan, nan, nan, nan, nan]",107 min
Sampai Ujung Dunia,2012,"When 3 childhood friends are faced with a love triangle, Annissa challenges to choose whomever to bring her first to Holland under her conditions.",Drama,,8.0,37,Indonesian,Monty Tiwa,"['Diaz Ardiawan', 'Chintami Atmanegara', 'Deddy Mahendra Desta', 'Iwa K.', 'Tutie Kirana', 'Renata Kusmanto', 'Gading Marten', 'Roy Marten', 'Sita Nursanti', 'Dimas Projosujadi', 'Dwi Sasono', 'Sujiwo Tejo', nan, nan, nan]",
Sang Martir,2012,,Drama,,6.7,7,Indonesian,Helfi C.H. Kardit,"['Nadine Ames', 'Henidar Amroe', 'Ganindra Bimo', 'Edo Borne', 'Adipati Dolken', 'Adi Kurdi', 'Jamal Mirdad', 'Astri Nurdin', 'Tio Pakusadewo', 'Yogia Pramatana', 'Titi Qadarsih', 'Bunga Elisabeth Rihana', 'Ray Sahetapy', 'Ghina Salsabila', 'Fauzan Smith']",98 min
Santet Kuntilanak,2012,,Horror,,3.1,7,Indonesian,Nayato Fio Nuala,"['Nadya Almira', 'Uli Auliani', 'Rina Diana', 'Natassa Lengkong', 'Yessa Lona', 'Rozie Mahally', 'Stewart Pesch', 'Yudha Putra', 'Jovian Sulaeman', 'Fero Walandouw', nan, nan, nan, nan, nan]",77 min
Sanubari Jakarta,2012,,Drama,,6.6,15,Indonesian,Lola Amaria,"['Hafez Ali', 'Ence Bagus', 'Deddy Corbuzier', 'Rangga Djoned', 'Reuben Elishama', 'Irfan Guchi', 'Albert Halim', 'Permata Sari Harahap', 'C.S.P. Dimas Hary', 'Illfie', 'Trianti Indah', 'Agastya Kandou', 'Dinda Kanyadewi', 'Miea Kusuma', 'Kirana Larasati']",100 min
Seandainya,2012,,Drama,,6.3,7,Indonesian,Nayato Fio Nuala,"['Christ Laurent', 'Dinda Hauw', 'Billy As', 'Yova Gracia', 'Rendy Kjaernett', 'Cut Meyriska', 'Krisna Murti', 'Erlin Sarintan', 'Rohman Suwandata', nan, nan, nan, nan, nan, nan]",82 min
Soegija,2012,"This movie follows the story of Dutch East Indies' (now Indonesia) first indigenous bishop, Albertus Soegijapranata SJ, from his inauguration until the end of Indonesia's independence war (1940-1949).",Biography,,6.2,117,Indonesian,Garin Nugroho,"['Nirwan Dewanto', 'Annisa Hertami Kusumastuti', 'Wouter Braaf', 'Muhammad Abbe', 'Eko Cockscomb', 'Annisa Hertami', 'Butet Kertaradjasa', 'Olga Lydia', 'Margono', 'Marwoto', 'Andrea Reva', 'Rukman Rosadi', 'Landung Simatupang', 'Henky Solaiman', 'Nobuyuki Suzuki']",115 min
"Sule, Ay Need You",2012,"Sule had to go to Jakarta to ask his uncle for help after his father went crazy for failing to become a ""Lurah"". Instead of getting help, he was chased and arrested by police because he was suspected of being a police fugitive.",Comedy,SU,7.1,56,Indonesian,Cuk Fk,"['Dicky Chandra', 'Shita Destya', 'Irene Justine', 'Titi Kamal', 'Agus Kuncoro', 'Ery Makmur', 'Nunung', 'Parto', 'Divya Qamilla', 'Tya Restyana', 'Juan Bione Subiantoro', 'Entis Sutisna', 'Andre Taulany', 'Cici Tegal', 'Indro Warkop']",
Tali Pocong Perawan 2,2012,"Tania was a closeted girl who secretly liked Jordy. So she could only watch helplessly when Grace approached Jordy. One day, Janet, her neighbor, gave the idea to use the Virgin Pocong Rope to bewitch Jordy.",Horror,17+,4.2,20,Indonesian,Volkan Maida,"['Wiwid Gunawan', 'Icha Anisa', 'Framly Daniel', 'Bella Esperance', 'Nikita Mirzani', 'Kartika Putri', nan, nan, nan, nan, nan, nan, nan, nan, nan]",84 min
Tanah Surga... Katanya,2012,"A family lives in the frontier between Indonesia and Malaysia. But his son chooses to live in Malaysia because, in Indonesia, the government is not taking care of people in the frontier and his life in Malaysia is much better.",Drama,,6.9,102,Indonesian,Herwin Novianto,"['Osa Aji Santoso', 'Norman R. Akyuwen', 'Andre Dimas Apri', 'Tissa Biani Azzahra', 'Ence Bagus', 'Gatot Brajamusti', 'Harmonika', 'Frosentiaus Lanyo', 'Deddy Mizwar', 'Astri Nurdin', 'Agus Rahman', 'Ringgo Agus Rahman', 'Anisa Putri Ranidita', 'Andriyanus Riyan', 'Muhammad Rizky']",91 min
Test Pack,2012,"A couple who have been married 7 years set on having children and trying everything from nutrition, fertility calendars, and even sexual positions to reach their goal of having a family.",Comedy,,7.1,134,Indonesian,Monty Tiwa,"['Reza Rahadian', 'Acha Septriasa', 'Renata Kusmanto', 'Meriam Bellina', 'Endhita', 'Muhammad Fachroni', 'Ade Habibie', 'Karissa Habibie', 'Agung Hercules', 'Uli Herdinansyah', 'Gading Marten', 'Jaja Mihardja', 'Ratna Riantiarno', 'Dwi Sasono', 'Fitria Sechan']",105 min
The Witness,2012,"The Witness tells the story about the girl ""Angel Williams"" who is having nightmares about a boy who is commiting suicide. One day Angel is invited by her family to a dinner in their house ...",Drama,,6.3,39,English,Muhammad Yusuf,"['Gwen Zamora', 'Pierre Gruno', 'Agung Saga', 'Kimberly Ryder', 'Marcellino Lafrand', 'Febby Febiola', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Toilet Blues,2012,Anjany run away from home after she was accused of being involved in an obscence act with her male friends,Drama,,6.2,18,Indonesian,Dirmawan Hatta,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",87 min
Ummi Aminah,2012,"Ummi Aminah (Nani Widjaja), an ustazah who has thousands of faithful worshipers. wherever he gives the sermon, the mosque is always packed full. In fact, he never asked for payment. Ummi ...",Drama,,7.6,16,Indonesian,Aditya Gumay,"['Nani Widjaja', 'Gatot Brajamusti', 'Aty Cancer', 'Budi Chairul', 'Cathya Kamila', 'Rasyid Karim', 'Ruben Onsu', 'Temmy Rahadi', 'Zee Zee Shahab', 'Revalina S. Temat', 'Elma Theana', 'Genta Windi', 'Satria Wishnu', 'Ali Zainal', nan]",104 min
Vakansi yang Janggal dan Penyakit Lainnya,2012,"Fed up with her daily routine, Ning takes on a new job at a furniture shop. There, she gets the opportunity to get away from her indifferent husband Jarot for a couple of days, having to deliver a sofa with her colleague Mur.",Drama,,4.7,57,Indonesian,Yosep Anggi Noen,"['Muhammad Abe Baasyin', 'Christy Mahanani', 'Joned Suryatmoko', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90 min
Xia aimei,2012,,Drama,,7.6,9,Indonesian,Alyandra,"['Franda', 'Shareefa Daanish', 'Gilang Dirgahari', 'Norman Kamaru', 'Olga Lydia', 'Jasmine Julia Machate', 'Samuel Rizal', 'Ferry Salim', nan, nan, nan, nan, nan, nan, nan]",73 min
13 Cara Memanggil Setan,2011,,Horror,,5.3,19,Indonesian,A. Liong Wong,"['Debby Ayu', 'Five Vi', 'Ki Kusumo', 'H.I.M. Damsyik', 'Fairly Wattimena', 'Ayank Merinda', 'Roy Saputra', 'Diki Al Mubaraq', 'Yoga Hoebnerj', 'Dewi Aida', 'Febriyane', nan, nan, nan, nan]",80 min
Ada Apa dengan Pocong?,2011,"A story about accidental killing of a woman by a herd of men. After the incident, the woman got up from his grave became Pocong and Kuntilanak to avenge his death.",Comedy,,5.2,27,Indonesian,Nayato Fio Nuala,"['Zacky Zimah', 'Joanna Alexandra', 'Dallas Pratama', 'Mpok Atiek', 'Bolot', 'Monique Henry', 'Remon Kruligh', 'Jerry Likumahwa', 'Raymond', 'Tasha Said', nan, nan, nan, nan, nan]",
Akibat Pergaulan Bebas 2,2011,,Drama,,3.2,20,Indonesian,Findo Purwono,"['Lia Aulia', 'Tasya Djerly Emor', 'Keith Foo', 'Rocky Jeff', 'Leylarey Lesesne', 'Aming Sugandhi', nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Anakluh,2011,,Drama,,7.2,6,Indonesian,Edward Sirait,"['Shara Aryo', 'Masayu Clara', 'Rizky Hanggono', 'Suci Winata', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",89 min
Arisan! 2,2011,"Eight years have passed since the first ""Arisan!"", many things have changed in the lives of a social elite friendship in Jakarta. Amidst the chaotic sequence of events in Jakarta, a friend of them decide to head to Gili island, Lombok.",Comedy,,6.6,157,Indonesian,Nia Di Nata,"['Cut Mini Theo', 'Tora Sudiro', 'Surya Saputra', 'Aida Nurmala', 'Rachel Maryam Sayidina', 'Atiqah Hasiholan', 'Rio Dewanto', 'Edward Gunawan', 'Adinia Wirasti', 'Keiko Marwan', 'Cynthia Lamusu', 'Isabelle Patrice', 'Jajang C. Noer', 'Lili Harahap', 'Melissa Karim']",119 min
Arwah Goyang Karawang,2011,"Lilis was forced to return to be a dancer in a jaipong dance group called Goyang Karawang. But, Neneng feels threatened by the return of Lilis and she tried to maintain her position. The competition between them became more exciting.",Comedy,,2.9,35,Indonesian,Helfi C.H. Kardit,"['Erlando', 'Ajeng Kraton', 'Julia Perez', 'Dewi Perssik', 'Bembi Zaenal', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90 min
Arwah Kuntilanak Duyung,2011,,Comedy,21+,2.8,35,Indonesian,Yoyok Subagyo,"['Dewi Perssik', 'Saipul Jamil', 'Pretty Asmara', 'Entis Sutisna', 'Afdhal Yusman', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",77 min
"Ayah, Mengapa Aku Berbeda?",2011,,Drama,,6.7,25,Indonesian,Findo Purwono,"['Dinda Hauw', 'Surya Saputra', 'Kiki Azhari', 'Fendy Chow', 'Rafi Cinoun', 'Aji Fernandez', 'Khazari', 'Rheina Maryana', 'Rima Melati', 'Indra Sinaga', nan, nan, nan, nan, nan]",99 min
Badai di Ujung Negeri,2011,Very good film . i love it,Adventure,,7.6,37,Indonesian,Agung Sentausa,"['Adrian Alim', 'Dedy Murphy Avivu', 'Edo Borne', 'H. Jojon', 'Ida Leman', 'Priady Muzy', 'Rabzki Muzy', 'Arifin Putra', 'Astrid Tiar', nan, nan, nan, nan, nan, nan]",
Baik-Baik Sayang,2011,,Drama,,6.7,11,Indonesian,Somad Sutedja,"['Wali Band', 'Intan Nuraini', 'Arumy Bachsin', 'Sulis', 'Dennis Adhiswara', 'Cecep Reza', 'Alicia Djohar', 'Anang Hermansyah', 'Didi Petet', 'Syahrini', nan, nan, nan, nan, nan]",95 min
Batas,2011,,Drama,,7.5,26,Indonesian,Rudy Soedjarwo,"['Marcella Zalianty', 'Marcell Domits', 'Arifin Putra', 'Jajang C. Noer', 'Ardina Rasti', 'Piet Pagau', 'Otig Pakis', 'Tetty Liz Indriati', 'Gabriel Armando', 'Alifyandra', nan, nan, nan, nan, nan]",
Belkibolang,2011,"Turithrepe could be the translation of Belkibolang, a contraction of 'Belok kiri boleh langsung' ('Turning right through red permitted'). An exception to the rule. Nine young Indonesian ...",Drama,,5.7,18,Indonesian,Edwin,"['Alexa', 'Deddy Mahendra Desta', 'Panji Rahadi', 'Dwi Sasono', 'Sapto Soetardjo', 'Marsha Timothy', 'Vindy', nan, nan, nan, nan, nan, nan, nan, nan]",87 min
Bukan Pocong Biasa,2011,,Comedy,,5.4,30,Indonesian,Nayato Fio Nuala,"['Zacky Zimah', 'Yoga Arizona', 'Mpok Atiek', 'Ronald Gustav', 'Irene Justine', 'Soraya Larasati', 'Mucle', 'Randy Pangalila', 'Malih Tongtong', nan, nan, nan, nan, nan, nan]",80 min
Catatan (Harian) Si Boy,2011,"Satrio (Ario Bayu) and Natasha (Carissa Puteri) met in an incident. Satrio who is interested in Natasha decides to help her to find the owner of the book that was given by her mom, which turns out to be a diary of a man named ""Boy"".",Action,,6.8,125,Indonesian,Putrama Tuta,"['Ario Bayu', 'Onky Alexander', 'Abimana Aryasatya', 'Tara Basro', 'Paul Foster', 'Albert Halim', 'Roy Marten', 'Didi Petet', 'Carissa Putri', 'Melanie Ricardo', 'Poppy Sovia', nan, nan, nan, nan]",96 min
Cewek Gokil,2011,,Comedy,,5.9,13,Indonesian,Rizal Mantovani,"['Irina Björklund', 'Enditha Bonacelli', 'Pong Harjatmo', 'Syailendra Soepomo', 'Velove Vexia', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Cewek Saweran,2011,,Drama,,5.0,7,Indonesian,Eddie Cahyono,"['Juwita Bahar', 'Djaduk Ferianto', 'Kriss Hatta', 'Harry Izwan', 'Marwoto', 'Dyah Arum Retnowati', nan, nan, nan, nan, nan, nan, nan, nan, nan]",84 min
Cowok Bikin Pusing,2011,,Drama,,4.8,13,Indonesian,Winalda E.,"['Alex Abad', 'Laudya Cynthia Bella', 'Marcel Chandrawinata', 'Julie Estelle', 'Nino Fernandez', 'Marissa Nasution', 'Aming Sugandhi', nan, nan, nan, nan, nan, nan, nan, nan]",86 min
Dedemit Gunung Kidul,2011,,Horror,,3.7,18,Indonesian,Yoyok Subagyo,"['Uli Auliani', 'Tasa Rudman', 'Ammy Tawaqal', 'Afdhal Yusman', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",90 min
Di Bawah Lindungan Ka'bah,2011,"In West Sumatra in the 1920s, Hamid and Zainab come from families from very different social classes. But it did not stop them fall in love and dream of finding a way for society to accept them, also to make the pilgrimage to Mecca.",Drama,,7.4,92,Indonesian,Hanny Saputra,"['Laudya Cynthia Bella', 'Herjunot Ali', 'Niken Anjani', 'Tarra Budiman', 'Jenny Rachman', 'Widyawati', 'Didi Petet', 'Leroy Osmani', nan, nan, nan, nan, nan, nan, nan]",121 min
Dilema,2011,"Dilemma is an omnibus film, five stories that depict dark side of Jakarta's underbelly. Jakarta's underground world that seldom to talk about, and forgotten by most of the people.",Crime,D,7.2,61,Indonesian,Adilla Dimitri,"['Kenes Andari', 'Abimana Aryasatya', 'Ario Bayu', 'Rangga Djoned', 'Wulan Guritno', 'Roy Marten', 'Jajang C. Noer', 'Tio Pakusadewo', 'Pevita Pearce', 'Reza Rahadian', 'Slamet Rahardjo', 'Ray Sahetapy', 'Lukman Sardi', 'Verdi Solaiman', 'Roy Sungkono']",100 min
Enter the Hamster,2011,"Nineties rock legends Vivian's Hamster, having split up ten years ago under catastrophic circumstances, realise that the time has come to reunite the band. No sooner do they hit the ...",Action,,6.3,7,English,Paul Vorrasi,"['Brett Jones', 'Zuzanna Kamusinski', 'Jess Thomas-Hall', 'Sheree Andersen', 'Aran Bright', 'Christopher Cobban', 'Jo Crozier', 'Peter Jeremijenko', 'Shannon Papera', 'Karen Russell', 'Johancee Theron', 'Michael Underwood', 'Stephen Parr', 'Andy Roberts', 'Tim Kirchler']",103 min
Garuda di Dadaku 2,2011,A star player on a national youth soccer team finds a lot of burden from all directions placed on his young shoulders.,Drama,SU,6.4,104,Indonesian,Rudy Soedjarwo,"['Emir Mahira', 'Aldo Tansani', 'Maudy Koesnaedi', 'Ramzi', 'Rio Dewanto', 'Monica Sayangbati', 'Rendy Khrisna', 'Aliando Syarief', 'Mayo Ramzi Fuhaira', 'Miguel Thomas', 'Joshua Pandelaki', 'Rahmat Ee', 'Agon', 'Dorman Borrisman', 'Riyanto Hasyim']",100 min
Get Married 3,2011,"Mae and Rendy already have children, they decide to become an independent family which is free from their parents and friends who only cause trouble. But after giving birth, Mae experienced 'baby blues' which made her become emotional.",Comedy,,5.5,39,Indonesian,Monty Tiwa,"['Nirina Zubir', 'Fedi Nuril', 'Aming Sugandhi', 'Ringgo Agus Rahman', 'Deddy Mahendra Desta', 'Meriam Bellina', 'Jaja Mihardja', 'Ira Wibowo', 'Ratna Riantiarno', 'Barry Prima', 'Kimberly Ryder', 'Billy W. Polli', 'Subarkah', 'Titi Dwijayati', 'Hanung Bramantyo']",95 min
