Date,Headline,Conflict Type,Country,Region,Description,Sources
2012,Somali insurgents poison peacekeepers' well,Casualty,Somalia,Sub-Saharan Africa,"Somali Al Shabaab insurgents poison a well and damage water infrastructure near the port city of Kismayo, Somalia. Insurgents are fighting against Kenyan peacekeeping troops participating in the African Union mission in Somalia.",Wabala 2012
2012,Violence over water in Nairobi's slums,Trigger,Kenya,Sub-Saharan Africa,"Violence, including several deaths, occurs during disputes over access to water in the poorest slums around Nairobi, Kenya.",Njeru 2012
2012,Uzbekistan cuts gas over Tajik dam project,Trigger,Uzbekistan,Central Asia,Uzbekistan cuts natural gas deliveries to Tajikistan in retaliation over a Tajik hydroelectric dam which Uzbeks say will disrupt water supplies. Gas flows resumed after a new contract is signed.,Kozhevnikov 2012
2012,Escalating rhetoric over dams in central Asia,Trigger,Kyrgyzstan,Central Asia,"Tensions escalate over two proposed dams in central Asia: Kambarata-1 in Kyrgyzstan and the Rogun Dam in Tajikistan. These dams could affect water supplies in the downstream nations of Uzbekistan, Turkmenistan, and Kazakhstan. Uzbekistan's president, Islam Karimov, says the dams could cause ""not just serious confrontation, but even wars.""","Economist, The 2012"
2012,Water-related violence in South Sudan refugee camp,Trigger,South Sudan,Northern Africa,Violence breaks out at water points in the Jamam refugee camp in South Sudan. Medicines Sans Frontieres reports that as many as 10 refugees die every day because of water shortages at refugee camps in South Sudan.,McNeish 2012
2012,Egypt and Sudan allegedly target Ethiopia dam,"Trigger, Casualty",Ethiopia,Sub-Saharan Africa,"Information is leaked about an alleged secret agreement that would allow Egypt to build an air base in Sudan to attack the Grand Ethiopian Renaissance Dam (GERD). Egypt is concerned that the dam, under construction in Ethiopia just upstream of Sudan on the Blue Nile, would reduce flows into its territory. The news reports, strongly denied by Egypt, claim that Sudan would allow Egypt to launch attacks if diplomatic efforts fail to resolve water sharing between Egypt and Ethiopia. The allegations are based on an internal 2010 email made available by Wikileaks.",Sudan Tribune 2012
2012,Water clash on border of Mali and Burkina Faso,Trigger,"Mali, Burkina Faso",Sub-Saharan Africa,"A clash along the border between Dogon villagers from Mali and nomadic Fulani herders from Burkina Faso kills at least 30 people, after an earlier agreement to share water and pasture land was revoked. Chaos following a military coup in March is partly responsible for the breakdown in law and order in Mali.",Xinhua News 2012a
2012,Violent protests over food and water in Mauritania,Trigger,Mauritania,Sub-Saharan Africa,"Protests and violence over water shortages occur in the capital of Mauritania, Nouakchott. By July 2012, over 70,000 Malian refuges were seeking asylum in Mauritania, putting pressure on scarce food and water supplies.",Taha 2012
2012,Three killed in dispute over wells in Somalia,Trigger,Somalia,Sub-Saharan Africa,"In August 2012, fighting between two clans in the Lower Juba region of south Somalia kills at least three people and wounds five. Reports from the village of Waraq (near the border with Kenya) indicate that the dispute began over the ownership of new water wells.",Shabelle Media Network 2012
2012,Violent conflict among Kenyan and Ugandan herders,Trigger,"Uganda, Kenya",Sub-Saharan Africa,"Tensions lead to violence between Uganda and Kenya after Kenyan Pokot herdsmen cross the border seeking water and pasture. In October, the Ugandan government sends 5,000 soldiers to control violence among pastoralists from the two countries.",Bii 2012
2012,Deaths in water conflicts in Tanzania,Trigger,Tanzania,Sub-Saharan Africa,"Violence between farmers and pastoralists expands in Tanzania's southeastern Rufiji valley, a region hit by drought. A farmer is killed in a conflict with a herdsman over access to water in the southern regions of Lindi and Mtwara. Five more people die and many more are injured in subsequent violence. According to local sources, violence has worsened during the prolonged drought.",Makoye 2012
2012,South Africans riot over water and power,Trigger,South Africa,Sub-Saharan Africa,"Protesters in poor communities of Cape Town, South Africa riot over inadequate water and power. Hundreds burn tires, destroy cars, and throw rocks at police in anger over the lack of basic services.",Xinhua News 2012b
2012,Syrian Civil War battle damages Aleppo pipeline,Casualty,Syria,Western Asia,"During the Syrian Civil War, the major pipeline delivering water to the city of Aleppo is badly damaged. The city of three million suffers severe shortages of drinking water.",British Broadcasting Corporation (BBC) 2012
2012,Syrian rebels capture dam,Casualty,Syria,Western Asia,"In November, Syrian rebels fighting the government of President Bashar al-Assad overrun government forces and capture the Tishrin hydroelectric dam on the Euphrates River, after days of heavy clashes. The dam supplies electricity to part of Syria and is considered strategically important to the Syrian regime.",Mroue 2012
2012,Indonesian mobs battle over water source,Trigger,Indonesia,Southeast Asia,"Violence over access to a water source in Maluku, Indonesia. Rival mobs from two villages attack one another ""with sharp weapons, guns and explosives"" causing several deaths and injuries.",Antara 2012
2012,Chinese protestors challenge Japanese factory for discharging contaminated wastewater,Trigger,China,Eastern Asia,"In July, thousands of protesters take to the streets in Qidong, Jiangsu Province to challenge a pipeline from a Japanese owned paper factory that would discharge contaminated wastewater into the sea, potentially pollute a nearby fishery, and contaminate drinking water. Demonstrators clash with police and there are reports of damages to government buildings, cars, and other property. Fourteen people plead guilty to encouraging the riot in which dozens of police are injured and the local Communist party chief is stripped half-naked.",Economy 2013
2012,Villagers protest contaminated water in Egypt,Trigger,Egypt,Northern Africa,Villagers from the Nile Delta province of Menoufia north of Cairo briefly lock the Egyptian health minister and a provincial governor inside a hospital room in protest over contaminated water caused hundreds of residents to fall ill. Egypt's state-run news agency MENA says the number of sick people reached more than 400. The two are released with police intervention.,Associated Press (AP) 2012b
2012,Militants block work at the Wullar Dam construction site in India,Trigger,"India, Pakistan",Southern Asia,"Militants block work at the Wular Conservation Project (Wular Dam) construction site in the Baramulla District of India - a project opposed by Pakistan. Officials suggest that these militants may have been sent by Pakistan because of their concerns that the project is in violation of Pakistani interests under the Indus Water Treaty of 1960. Sources said that eight of the 16 militants who stopped work of the Project are Pakistani nationals. India says the dam is not in violation of the Treaty and would, if completed, be used only for transportation purposes. Pakistan believes the Indian control over Jhelum waters has the potential to disrupt the Pakistan-Upper Jhelum Canal, Upper Chenab Canal, and the Lower Bari Doab Canal.",Hamid 2012a
2012,Demostrations turn violent over water and power shortages in Guinea,Trigger,Guinea,Sub-Saharan Africa,"Demonstrations over water and power shortages in Conakry, Fria, and Dinguiraye turn violent, with dozens injured.",Crisis Watch Database 2014
2012,Angry demonstrators protest over water supply in Tunisia,Trigger,Tunisia,Northern Africa,"In June 18-19, demonstrators demanding a solution to a dried up water supply block the main road near Tozeur, leading to clashes with police.",Salehyan et al 2014
2012,Women assaulted for attempting to take well water in India,Trigger,India,Southern Asia,Women from the village of Rasooh are reportedly assaulted for attempting to take water from a village well. The tensions over water are related to long-standing tensions between caste groups but have been worsened by drought and water shortage.,Sharma 2014
2012,Attack on construction facilities at Turkish dams,Casualty,Turkey,Western Asia,"22 trucks are set on fire at dam sites in Turkey, in attacks attributed to Kurdistan Workers' Party (PKK) militants.",Stratfor 2016
2012-2013,Ethnic conflict in Kenya fueled by water,Trigger,Kenya,Sub-Saharan Africa,"Extensive violence over water is reported in Kenya, with approximately 50 deaths in clashes between farmers and cattle herders. The conflict is part of a long-running dispute between Pokomo farmers and Orma, semi-nomadic cattle herders, over land and water. The current conflict is being exacerbated by Kenyan and foreign investment in vast tracts of land for food and biofuel cultivation, putting pressure on local resources. (See also entry in 2001.)",Agence France-Presse (AFP) 2012a
2012-2014,Moroccan villagers cut off water supply from local mine,"Trigger, Casualty, Weapon",Morocco,Northern Africa,"A group of Moroccan villagers, including many women and children try to stop the water supply to a local silver mine. They shut down some of the main wells that supply water for mining citing concerns about water allocation and pollution. The facility in Imiter, a Berber village nestled in the High Atlas mountains, has been accused of drawing more than its fair share of water and polluting what it uses.",Brouksy 2012
2012,"Farmers clash with police over water transfers from Isfahan to Yazd, Iran. A water diversion pipe is destroyed.","Tigger, Casualty",Iran,Southern Asia,"Farmers  in Varzaneh clash with police and break a water pipe that transports 50 million cubic meters of water per year from Isfahan to the neighboring province of Yazd, Iran.",Karimi and Nasiri 2018
2012,Violence between camel herders and farmers over access to water and concerns about water contamination leave one dead in Kenya,Trigger,Kenya,Sub-Saharan Africa,"Several farmers from Mwatate, Kenya are attacked, one killed, by camel herders after attempts to chase camels from the agricultural land. The camel herders have moved to the area to find land and water for their stock. Farmers are also concerned about the potential spread of disease and pollution of the local water sources from camel feces and urine.",Mghenyi 2018
2012,A landmine explodes targeting a tanker providing water to Transitional Federal Government (TFG) soldiers,Casualty,Somalia,Sub-Saharan Africa,"A landmine explodes in Luuq town, Gedo Region, Somalia. The landmine is targeting a tanker providing water to Transitional Federal Government (TFG) soldiers. Three people are killed and an unknown number of people are injured in the attack. No group claims responsibility for the incident, although unnamed sources suspect Al-Shabaab.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201201150014
2012,"Assailants fire a mortar round, striking a water facility",Casualty,Iraq,Western Asia,"Assailants fire a mortar round, striking a water facility in Mosul city, Nineveh governorate, Iraq. One security guard is killed in the attack, and the facility is damaged. This is one of 32 coordinated incidents across Iraq on the same day. Al-Qa'ida in Iraq claims responsibility for the attacks, stating that they are in retaliation for the torture and genocide that Sunni civilians face in Iraqi prisons.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201202230016
2012,An explosive device detonates and damages a tube well and a mosque,Casualty,Pakistan,Southern Asia,"An explosive device detonates and damages a tube well and a mosque in Lakki Marwat city, Khyber Pakhtunkhwa province, Pakistan. There are no casualties reported, and no group claims responsibility for this incident. A school is also damaged in an explosion in the same location on this day.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201203150002
2012,A water tanker is damaged when it is targeted by a roadside bomb,Casualty,Afghanistan,Southern Asia,"A water tanker is damaged when it is targeted by a roadside bomb in Khash Rod district, Nimruz province, Afghanistan. One person is killed and another wounded in the attack, for which no group claims responsibility.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201203170018
2012,Assailants open fire on security personnel escorting a water tanker convoy,Casualty,Indonesia,Southeast Asia,"Assailants open fire on security personnel escorting a Freeport Indonesia water tanker convoy in Mimika district, Papua province, Indonesia. There are no reported casualties, but the vehicles are damaged. This is one of two coordinated attacks on this convoy on this day, neither of which are claimed by any group.","National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201204140023, National Consortium fo"
2012,An explosive device detonates prematurely as the assailant is planting it  targeting a fresh water well,Casualty,Pakistan,Southern Asia,"An explosive device detonates prematurely as the assailant is planting it in Wocha Khwara village, Federally Administered Tribal Areas, Pakistan. The device is targeting a fresh water well; the assailant is killed in the blast. No group claims responsibility for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201205040033
2012,"Attackers shoot at and set fire to the town's water pump, destroying the only viable water source",Casualty,Somalia,Sub-Saharan Africa,"Assailants attack the police station in El Adde town, Gedo region, Somalia. The assailants open fire on the station, causing the Transitional Federal Government (TFG) forces posted there to return fire. There are no reported casualties in the incident. The attackers also shoot at and set fire to the town's water pump, destroying the only viable water source. No group claims responsibility, but locals attribute the attack to Al-Shabaab, believing that the incident is prompted by the presence of Kenyan Defense Forces (KDF) in the town.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201206030027
2012,An explosive device detonates at a irrigation tube well,Casualty,Pakistan,Southern Asia,"An explosive device detonates at a irrigation tube well in Khairo Khel area, Lakki Marwat district, Khyber Pakhtunkhwa province, Pakistan. A power transformer line and the tube well are damaged in the blast; however, there are no reported injuries. No group claims responsibility for the incident.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201206100013
2012,An explosive device planted in a water spring detonates as a group of children are grazing animals,Casualty,Afghanistan,Southern Asia,"An explosive device planted in a water spring detonates as a group of children are grazing animals in Taywara district, Ghor province, Afghanistan. Seven children are killed in the blast. No group claims responsibility for the incident; however, sources attribute it to the Taliban.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201207240010
2012,An explosive device detonates near a water pipeline,Casualty,Afghanistan,Southern Asia,"An explosive device detonates near a water pipeline in Pul-e-Alam district, Logar province, Afghanistan. Five people, including two Afghan police officers, are killed in the attack, and four people, including two Afghan police officers, are injured. No group claims responsibility; however, one person is arrested in connection with the incident and admits to remotely detonating the device.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201208010047
2012,An explosive device detonates in a canal,Casualty,Philippines,Southeast Asia,"An explosive device detonates in a canal in barangay Poblacion, M'lang town, North Cotabato province, Philippines. No casualties are reported in the blast. No group claims responsibility for this incident; however, police suspect the Bangsamoro Islamic Freedom Movement (BIFM).",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201208110008
2012,Two explosive devices placed in a well are discovered and defused,Casualty,Pakistan,Southern Asia,"Two explosive devices placed in a well are discovered and defused in Nar Raza Khan village, Khyber Pakhtunkhwa province, Pakistan. No group claims responsibility for the incident.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201208130026
2012,Assailants bomb a government water tank,Casualty,Pakistan,Southern Asia,"Assailants bomb a government water tank in the Aka Khel area of Bara tehsil, Federally Administered Tribal Areas, Pakistan. There are no reported casualties; however, the water tank is destroyed in the blast. No group claims responsibility for the incident; however, police arrest one individual in connection with the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201212060017
2013,Islamic militants cut water supply to Timbuktu,Casualty,Mali,Sub-Saharan Africa,"Attacks by Islamic militants on utilities cut water supply to Timbuktu, Mali. There are also reports that Malian forces carried out executions in the conflict area near the towns of Sevare, Mopti, and Niono with bodies being dumped in water wells.",Formanek Smith-Spark and Netto 2013
2013,Colombian demostration over water treatment plant turns violent,Trigger,Colombia,Latin America and the Ca,"Violence breaks out in the town of Yopal, Colombia, which has been without water for nearly two years following the destruction of a water treatment plant by a landslide. Demonstrations at government offices and offices of the water company lead to injuries and arrests.",United Press International (UPI) 2013
2013,Farmers in Iran clash with police over water diversions,"Trigger, Casualty",Iran,Southern Asia,"Hundreds of farmers in the town of Varzaneh, in Iran's Isfahan province, clash with police during a protest against the government's decision to divert water from the area to another province. Iranian media say farmers smash a pipeline carrying water from Zayanderud river to neighboring Yazd province in an effort to prevent the water transfer. Dozens are reported injured and more arrested.",Associated Press (AP) 2013b
2013,Water shortage leads to local fighting in India,Trigger,India,Southern Asia,"An acute water shortage in Ahmednagar district, Maharashtra, India leads to fights among locals and one death. The government expresses concern about large-scale public unrest due to a severe drought and major water shortages.",Express News Service 2013
2013,Violence escalates over water in Yemen,Trigger,Yemen,Western Asia,"The dwindling water supply from shared mountain springs leads to growing violence between Marzouh and Qaradh, Yemen. At least six deaths occur and many more are wounded in clashes since 2000. ""Wherever in Yemen you see aquifers depleting, you have the worst conflicts,"" said Abdul Rahman al-Eryani, former minister for water and environment, Yemen.",Friedman 2013
2013,Chinese dam builders killed after attack by Uyghurs,"Trigger, Casualty",China,Eastern Asia,"Hundreds of Uyghurs are arrested following an attack on May 20th that led to the death of seven Han Chinese workers building a dam on the Karakash River in Hotan (in Chinese, Hetian) prefecture's Karakash (Moyu) county, China. Local officials ascribe the violence to land and water disputes and cultural differences between Han immigrants [to Xinjiang] and Uyghurs.",Hoshur 2013
2013,Armed gang sabotages main water pipeline in Yemen,Casualty,Yemen,Western Asia,"An armed gang sabotages the main water pipeline from Sana'a to Ta'izz in al Hawjila, Ta'izz governorate on June 23.",Barakishnet 2013
2013,Five killed at protest against lack of water at Indonesian prison,Trigger,Indonesia,Southeast Asia,"Protests against the lack of water and other basic resources at a prison in Medan, Indonesia leave five dead. Hundreds of convicts escape after the inmates set fire to the prison.",Hariyadi 2013
2013,Kyrgyz villagers block canal at border,"Trigger, Weapon","Kyrgyzstan, Kazakhstan",Central Asia,A water and land dispute between villagers living on the border between Kazakhstan and Kyrgyzstan escalates when Kyrgyz villages block a canal to prevent water flowing to farmers on the Kazakh side of the border.,Lillis 2013
2013,Sri Lankan archbishop accuses army of killing unarmed protestors,Trigger,Sri Lanka,Southern Asia,"The Catholic Archbishop of Colombo, Sri Lanka accuses the Sri Lankan army of shooting unarmed protesters and desecrating a church during demonstrations against water contamination. In the incident, at least six people are reported killed and more than 50 others wounded. Thousands of residents were protesting against the contamination of groundwater supply to 15 local villages, allegedly by chemical waste from a rubber glove factory.",Al Jazeera 2013
2013,Elsipotog Nation protests over fracking impact to water resources in Canada,Trigger,Canada,North America,Several injuries are reported and six police cars burned during a protest by members of the Elsipogtog First Nation in Canada over the impacts to local water resources from fracking operations.,CTV News 2013
2013,Algerian protestors and police clash at protest over water shortages,Trigger,Algeria,Northern Africa,"Nineteen people are arrested in Algeria's Setif region when clashes erupt between protesters and police during a demonstration against water shortages. Around 300 protesters march on the town hall in Bouselam to demand improved water supplies and other local improvements. Clashes broke out when the security forces attempted to access the building by force, with 19 people arrested.",Agence France-Presse (AFP) 2013
2013,Militants attack pumping station in Libya,Casualty,Libya,Northern Africa,"Water for the capital of Libya, Tripoli is disrupted by an attack in southern Libya on a pumping station for the country's 'Great Man Made River' by militants loyal to former Libyan leader Muammar al-Gaddafi.",Stratfor 2013
2013,Demonstrators killed during protests over water shortages in Somaliland,Trigger,Somalia,Sub-Saharan Africa,At least two demonstrators are killed and others wounded when protests against water shortages are broken up by police firing live bullets. The shortages were caused by a work stoppage by private water vendors protesting new taxes.,Hasan 2013
2013,Pakistan and India clash over Siachen Glacier,Trigger,"India, Pakistan",Southern Asia,"Tensions continue between India and Pakistan over access to and control of the Siachen Glacier in Kashmir, with a demand by Pakistan that India withdraw troops stationed there.",Press Trust of India (PTI) 2013
2013,Clash between Kenyan herders and crop growers kills 56,Trigger,Kenya,Sub-Saharan Africa,Fighting between Borana herders and the crop-growing Burji community kills at least 56 people in 2013. The violence is rooted in historic clan rivalries as well as competition for water and pasture in the arid region. Clashes between the two communities date back to the 1960s and are related to disputes over the use of political power to take control of water and fertile land.,Khalif and Doya 2014
2013,Tanzanian herders attempt take control of water source,Trigger,Tanzania,Sub-Saharan Africa,"Conflicts over water continue in Tanzania between farmers and herders over dwindling water resources. In 2013, herders attempt to take over the central water source in the village of Makenya.",Makoye 2013
2013,Militias cut off water supplies to Tripoli,Weapon,Libya,Northern Africa,Militias cut off water supplies to Tripoli for several days in continuing unrest in the country.,Hurriyet Daily News 2013
2013,Water shortage causes riots in Jordan,Trigger,Jordan,Western Asia,"The Syrian civil war and the displacement of refugees into Jordan contribute to a growing water supply crisis. In summer 2013, riots associated with water shortages are reported by the director of water utilities in Jordan's Mafraq governorate. He notes, ""Mafraq was on fire. People burned tires in the street and closed the roads. There was tension over water in the past, but the Syria crisis has made it much worse.""",Proctor 2014
2013,Blockade causes shutdown of Gaza wastewater treatment plant,Casualty,Palestine,Western Asia,"An Egyptian and Israel blockade of Gaza cut fuel supplies and causes a shutdown of Gaza's wastewater treatment plants, leading to massive overflow of sewage.",Al-Mughrabi 2013
2013,"Water supply for the city of Kitchanga, Congo cut off resulting in deaths",Casualty,Congo,Sub-Saharan Africa,"The water supply for the city of Kitshanga, Congo is cut off in clashes between DRC armed forces and the Alliance des Patriotes pour un Congo Libre et Souverain (APCLS). The violence kills tens of civilians, including a humanitarian worker, wounds hundreds of people, and displaces thousands.",UN News Service 2013
2013,Car bomb targets water supply systems in Colombia,Casualty,Colombia,Latin America and the Ca,"A car bomb thought to be targeted at a community water supply detonates near an aqueduct. No group claims responsibility, however Colombian officials attributed it to the Revolutionary Armed Forces of Colombia (FARC).",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201302060003
2013,Water station in Egypt is attacked,"Trigger, Casualty",Egypt,Northern Africa,A water station in Bir al-Abd town is attacked. No one is reported injured or killed. The attackers claim that the water station was built on their lands.,MA'AN News Agency 2013
2013,Water tanker in Myanmar is attacked,Casualty,India,Southern Asia,"Employees of the private company Assam Rifles are escorting a water tanker near the Manipur-Myanmar border when they are attacked with a remotely-detonated bomb. No one is reported injured, however the water tanker is damaged.",Laithangbam 2013
2013,Water project employees kidnapped in Iraq,Casualty,Iraq,Western Asia,Four water project employees are kidnapped by assailants dressed as police officers. The outcome of the kidnapping is unknown and no group has claimed responsibility for the incident.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201311190066
2013,Village water well destroyed in Somalia,Casualty,Somalia,Sub-Saharan Africa,The water well for a village in the Bay region is destroyed by an attack attributed to Al-Shabaab.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201312020003
2013-2014,Fight over control of water in Pakistan,Trigger,Pakistan,Southern Asia,"In Karachi, rival sects of the Taliban fight for the control of water by controlling infrastructure and land.",Hamid 2012a
2013,Environmental activist Tomas Garcia is killed at peaceful protest of the Agua Zarca Dam project in Honduras,Trigger,Honduras,Latin America and the Caribbean,"Environmental activist, Tomas Garcia, dies after being shot by the Honduran military during a peaceful protest of the Agua Zarca Dam project.",International Rivers 2013
2014,Kyrgyzstan and Tajikistan security clash over border dispute,Casualty,"Kyrgyzstan, Tajikistan",Central Asia,"Security forces in Kyrgyzstan and Tajikistan clash over a border dispute. Among the targets of the violence, which leave security forces wounded on both sides, are a small dam and electricity substation inside Kyrgyzstan. The local grievances include disputes over access to pasture and water resources.",Trilling 2014
2014,Protests over water shortages in South Africa turn violent,Trigger,South Africa,Sub-Saharan Africa,At least four people are killed in South Africa during protests over water shortages in the northern town of Brits.,Sky News 2014
2014,Three US citizens arrested for planning attack on water treatment plant,Casualty,United States,North America,"Three men in the state of Georgia are arrested for planning to attack water treatment plants, power grids, and other infrastructure in an effort to incite anti-government militias in the United States to fight the federal government. A criminal complaint charges them with conspiring to receive and possess firearms, specifically pipe bombs and thermite grenades. Thermite grenades are military-grade weapons typically used to destroy vehicles, weapons systems, and other equipment.",Brumback 2014
2014,Water pipeline destroyed in South Sudan,Casualty,South Sudan,Northern Africa,"Fighting around Malakal, in South Sudan, displaces thousands and leaves many dead. A military checkpoint and water pipeline to the United Nations Mission in South Sudan (UNMISS) compound and nearby Protection of Civilians area are targeted and destroyed.",World Vision 2014
2014,Libyan tribal disputes include attacks on pumps,Casualty,Libya,Northern Africa,"Disputes between two tribes in Libya, the Zwai and Tebu, include attacks on power stations and power cut for the pumps that operate the 'Man Made River' pipeline system, leading to water shortages.",Adel 2014
2014,Christian militias reportedly kill Muslim civilians,Casualty,Central African Republic,Sub-Saharan Africa,Continued sectarian violence in the Central African Republic between Muslim and Christian militias includes reports of Muslim civilians being killed and their bodies thrown down water wells.,Lodge 2014
2014,"Civilians suffer violence, intentional water cuts along Georgia-Russia border",Casualty,"Georgia, Russia",Eastern Europe,"Despite continuing talks between Georgia and Russia following a 2008 war over South Ossetia and Abkhazia, violence continues in the region. Georgia says civilians along the line suffer violence and kidnappings, that school children are detained regularly by Russian troops, and that water and gas supplies are regularly cut off.",Independent Online 2014
2014,Groups attack Venezuelan water treatment plant,Casualty,Venezuela,Latin America and the Ca,"Unidentified groups attack the Bourgin water treatment plant in Merida, Venezuela and contaminate the local supply with diesel fuel. The contamination is discovered through water quality testing and the water supply to Merida is shut off for a short period for cleaning.",Pearson 2014
2014,"Militia burn and loot South Darfur refugee camp, destroying water wells",Casualty,Sudan,Northern Africa,"Armed Janjaweed militia burn and loot a South Darfur refugee camp, killing a local sheikh, injuring others, looting property and livestock, and destroying all water wells.",Radio Dabanga 2014
2014,Farmers and herdsmen clash over land and water access,Trigger,Nigeria,Sub-Saharan Africa,"In Nigeria, Tiv/Agatu farmers and Fulanis herdsmen clash over access to grazing land and water points. In April 2014, President Goodluck Jonathan orders military operations in Benue, Nasarawa, and Plateau states in an effort to reduce the violence.",All Africa 2014
2014,Ukraine accused of cutting water supply,Weapon,"Ukraine, Crimea",Western Asia,"After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.",British Broadcasting Corporation (BBC) 2014a
2014,Insurgents seize Falluja Dam,"Weapon, Casualty",Iraq,Western Asia,"Insurgents from Islamic State in Iraq and the Levant (ISIL) seize the Fallujah Dam in Iraq and close the floodgates to cause upstream flooding and to cut downstream water supply. The objective is to flood the area around the city of Fallujah to force government troops to retreat and lift a siege, while cutting water supplies and hydroelectricity generation for other parts of the country.",Coles 2014
2014,Upper caste women reportedly restrict access to water sources,Weapon,India,Southern Asia,Tensions revive in the area of Jammu and Kashmir in early 2014 when upper caste women reportedly restrict access to higher quality water sources.,Sharma 2014
2014,"Government reportedly bombs pumping stations in Aleppo, Syria",Casualty,Syria,Western Asia,"The water supply for the Syrian city of Aleppo is cut off in both regime and opposition-controlled areas. The city's water pumping stations are bombed, reportedly by the government, as are water distribution networks in opposition-controlled areas. In return, the Syrian Ministry of Foreign Affairs blames opposition forces for the water crisis.",Bulos 2014
2014,Village clashes with police over spring,Trigger,Mexico,Latin America and the Ca,"A confrontation over a water spring between 1,500 police and residents of a village on Mexico City's western outskirts leaves more than 100 police injured and five people arrested. It is the latest in a series of clashes over increasingly scarce water in the city, which draws much of its supply from surrounding states. Local governments say they are trying to extend municipal supply to the area; residents are afraid the objective is to take control over a local water source.",Stevenson 2014
2014,Islamic State fighters advance on Haditha Dam,"Weapon, Casualty",Iraq,Western Asia,"Iraqi officials report that fighters with the Islamic State in Iraq and the Levant (ISIL) are advancing on the Haditha Dam, the second-largest in Iraq, raising the possibility of catastrophic damage and flooding. The ISIL militants are fighting for control of the Euphrates River dam, about 120 miles northwest of Baghdad and government forces were fighting to halt their advance. Army officers tell employees to stay inside and to be prepared to open the dam's floodgates if ordered to do so, one employee said.",Rubin and Nordland 2014
2014,Protests over spring diversion erupts in violence,Trigger,Mexico,Latin America and the Ca,"Protestors in San Bartolo Ameyalco on the outskirts of Mexico City battle anti-riot police during a protest to prevent the diversion of local spring water to a new development nearby. More than 100 people are injured, some seriously.",Becerra 2014
2014,Israel damages water and wastewater systems in Gaza,Casualty,Palestine,Western Asia,"During the 2014 Israel-Gaza conflict, Gaza's water infrastructure is heavily damaged. The World Health Organization and other aid groups report that a water facility, wastewater treatment plants, and a desalination facility are damaged by Israeli military action. Moreover, electricity shortages impede the ability of the remaining wastewater treatment plants to function effectively.",Kershner and Akramjuly 2014
2014,Armed bandits force villages to pay a 'water tax',Trigger,India,Southern Asia,"Drought in northern India causes local bandits to threaten to kill nearby villagers unless they deliver water to their rural hideouts. Twenty-eight local villages obey the order and take turns paying what the bandits call a daily ""water tax.'",Banerjee 2014
2014,"Water system in Donetsk, Ukraine damaged during conflict with Russia",Casualty,Ukraine,Eastern Europe,"During the conflict between the Ukraine and Russia, water systems for the city of Donetsk are damaged. The Donbas Water Company stops three pumping station from bringing water to the Siversky Donets-Donbas channel due to damages from the conflict.",Kiev Post 2014
2014,Islamic State forces take control of Mosul Dam,Casualty,Iraq,Western Asia,"Mosul Dam in Iraq is taken over by Islamic State in Iraq and the Levant (ISIL) forces in August 2014. Over the next several weeks, Kurdish and US forces attack ISIS/ISIL in the region and retake control of the dam.",Maler 2014
2014,"In Texas, family feud over water well erupts in violence",Trigger,United States,North America,A dispute over a water well leads to a violent assault with a sword and gun. Two men are arrested.,Hlavaty 2014
2014,Free Syrian Army cuts off water supply to Wadi Barada,Weapon,Syria,Western Asia,"Syrian government forces are driven out of Wadi Barada's villages after the Free Syrian Army (FSA) cuts off water supply from Ain al-Fijah, a major spring serving the Damascus area.",Reznick 2016
