,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
THMO,5.06,-,-,-,1.97,-3.78,-,-550.60%,-105.20%,53.20%,38.28%
THRM,3.66,52.56,22.68,2.10,0.38,1.09,-,7.50%,7.20%,51.90%,0.30%
THRY,,,,,,,,,,,
THTX,-,-,-,-,-,-,-,-,-,-,1.52%
THWWW,,,,,,,,,,,
TIG,1.79,-,15.86,-,0.10,-,-,-,13.80%,1098.40%,0.60%
TIGO,2.01,-,26.07,-,3.35,-0.57,6.46%,-3.20%,4.60%,65.90%,36.00%
TIGR,3.43,104.23,24.41,-,0.00,0.05,-,3.40%,-3.20%,391.80%,2.38%
TILE,1.72,-,7.59,-,2.03,-1.29,0.48%,-26.10%,11.20%,-77.50%,2.00%
TIPT,0.50,-,-,-,1.14,-1.15,3.08%,-29.20%,2.60%,-,26.60%
TITN,1.15,21.36,13.98,0.85,1.16,0.86,-,-,2.70%,25.10%,2.00%
TLC,18.17,-,-,-,-,-0.51,-,-,-,-,-
TLGT,-,-,-,-,-,-9.85,-,285.40%,-5.10%,-245.90%,0.60%
TLMD,1.09,-,-,-,0.00,-,-,-,-,-,6.60%
TLMDW,,,,,,,,,,,
TLND,76.37,-,-,-,9.08,-2.30,-,-274.90%,-35.20%,-45.90%,4.10%
TLRY,5.96,-,-,-,2.60,-4.38,-,-246.00%,-40.20%,95.20%,7.80%
TLS,-,-,-,-,-,-0.12,-,4.00%,15.00%,-110.40%,0.10%
TLSA,-,-,-,-,-,-0.14,-,-,-,-,-
TLT,-,-,-,-,-,-,1.66%,-,-,-,-
TMDI,30.43,-,-,-,-,-0.02,-,-,-,-,0.31%
TMDX,3.76,-,-,-,0.31,-1.40,-,-39.00%,-33.40%,52.20%,-
TMPMU,,,,,,,,,,,
TMTS,-,-,-,-,-,-,-,-,-,-,-
TMTSU,,,,,,,,,,,
TMTSW,,,,,,,,,,,
TMUS,2.56,47.57,46.60,-,1.12,2.80,-,6.60%,7.90%,-0.60%,0.20%
TNAV,2.21,38.10,43.64,1.52,0.00,0.13,-,6.20%,-0.80%,-,1.60%
TNDM,17.77,-,47190.00,-,0.61,-0.81,-,-19.60%,-8.70%,-209.90%,1.33%
TNXP,1.28,-,-,-,0.00,-2.50,-,-118.20%,-,99.80%,0.05%
TOMZ,6.06,13.23,-,-,0.03,0.36,-,78.10%,-35.30%,460.90%,0.10%
TOPS,0.00,-,-,-,2.20,-114.05,-,-23.00%,0.20%,87.10%,-
TOTA,1.12,-,-,-,0.09,-0.41,-,-2.50%,-,-321.00%,36.79%
TOTAR,,,,,,,,,,,
TOTAU,,,,,,,,,,,
TOTAW,,,,,,,,,,,
TOUR,0.85,-,-,-,0.03,-0.90,-,-27.40%,-29.80%,12.30%,2.64%
TOWN,0.94,12.50,13.71,-,0.14,1.81,3.19%,7.80%,16.70%,-8.70%,5.60%
TPCO,1.85,-,11.12,-,0.03,-1.55,8.25%,-18.60%,1.90%,171.50%,39.66%
TPIC,8.87,-,28.41,-,1.31,-0.78,-,-14.20%,-2.10%,970.40%,1.00%
TPTX,6.42,-,-,-,0.00,-3.51,-,-23.80%,-,33.80%,2.10%
TQQQ,-,-,-,-,-,-,0.03%,-,-,-,-
TRCH,2.44,-,-,-,1.13,-0.18,-,-90.90%,-23.30%,46.80%,17.89%
TREE,8.60,-,74.73,-,1.67,-1.56,-,-9.60%,8.00%,-213.90%,4.90%
TRHC,4.61,-,85.70,-,1.43,-2.66,-,-32.50%,-4.00%,-153.10%,8.70%
TRIB,3.36,-,15.10,-,0.00,-0.18,-,-665.10%,-21.60%,29200.00%,11.20%
TRIL,11.22,-,-,-,-,-2.90,-,-,-,-,0.01%
TRIP,4.22,-,60.13,-,0.55,-1.67,-,-20.10%,9.60%,-206.60%,0.20%
TRIT,1.62,287.91,-,-,0.00,0.04,-,0.60%,-,-163.80%,62.07%
TRITW,,,,,,,,,,,
TRMB,4.54,31.22,26.68,4.46,0.50,1.94,-,15.30%,11.00%,8.20%,0.40%
TRMD,0.52,2.01,-,-,-,3.69,12.82%,-,-,-,0.40%
TRMK,0.94,11.38,13.42,1.63,0.04,2.24,3.61%,8.50%,22.70%,34.60%,10.31%
TRMT,0.41,4.72,5.31,-,2.20,0.97,0.87%,9.10%,1.90%,27.10%,0.70%
TRNS,3.32,34.88,25.42,1.40,0.32,0.90,-,10.10%,9.40%,-15.70%,6.70%
TROW,4.67,16.42,14.68,1.80,0.00,8.93,2.46%,30.30%,24.10%,22.00%,0.80%
TRS,2.15,-,15.04,-,0.00,-2.35,-,-10.00%,7.50%,-791.70%,0.20%
TRST,1.08,11.54,10.83,2.31,0.00,0.54,4.30%,9.60%,25.40%,-3.80%,2.00%
TRUE,1.34,-,-,-,0.00,-0.20,-,-6.50%,-17.40%,205.10%,2.20%
TRUP,23.11,-,-,-,0.21,-0.05,-,-1.20%,-1.10%,-436.20%,1.40%
TRVG,0.99,-,-,-,0.00,-0.79,-,-32.00%,1.90%,-897.60%,8.18%
TRVI,1.53,-,-,-,0.39,-1.66,-,-67.30%,-,1.50%,7.48%
TRVN,3.12,-,-,-,0.00,-0.22,-,-42.50%,-,58.40%,0.30%
TSBK,1.10,8.39,-,0.65,0.00,2.88,3.31%,13.60%,26.50%,5.60%,13.90%
TSC,0.86,11.74,14.79,0.98,0.00,1.37,-,7.70%,23.70%,-48.60%,2.50%
TSCAP,,,,,,,,,,,
TSCBP,,,,,,,,,,,
TSCO,8.48,21.23,21.15,1.39,0.50,6.44,1.17%,46.70%,29.10%,59.10%,0.10%
TSEM,1.95,38.59,18.45,2.57,0.22,0.67,-,5.20%,5.10%,-32.10%,19.60%
TSHA,0.95,-,-,-,0.00,-,-,-,-,-,26.90%
TSIAU,,,,,,,,,,,
TSLA,33.24,1126.38,145.85,-,0.86,0.51,-,5.00%,-0.90%,124.60%,0.10%
TSRI,2.43,-,-,-,1.17,-0.24,-,-8.10%,-8.00%,99.50%,37.24%
TTCF,0.58,-,90.71,-,0.01,-1.35,-,-4.90%,-,-,61.47%
TTCFW,,,,,,,,,,,
TTD,48.51,297.60,182.55,10.26,0.09,2.91,-,19.70%,17.00%,107.30%,0.70%
TTEC,6.68,30.99,23.00,1.60,0.71,2.19,1.09%,23.90%,13.50%,17.40%,0.80%
TTEK,6.25,38.11,31.93,2.54,0.28,3.16,0.56%,17.40%,14.10%,287.60%,1.50%
TTGT,8.67,80.54,39.27,4.03,0.14,0.63,-,11.60%,9.90%,26.30%,1.20%
TTMI,1.01,-,10.50,-,0.78,-0.28,-,10.20%,4.20%,-,1.60%
TTNP,-,-,-,-,-,-0.25,-,-,-307.70%,72.10%,5.08%
TTOO,9.58,-,-,-,2.53,-0.68,-,714.40%,-584.90%,75.60%,4.81%
TTWO,7.15,43.86,32.15,2.87,0.00,4.13,-,18.10%,14.60%,36.70%,0.30%
TUR,-,-,-,-,-,-,2.58%,-,-,-,-
TURN,0.74,-,-,-,0.00,-0.12,-,-4.40%,-5.10%,-217.10%,5.10%
TUSA,-,-,-,-,-,-,1.24%,-,-,-,-
TUSK,0.18,-,-,-,0.16,-3.46,22.22%,-26.10%,-15.40%,109.30%,3.90%
TVTX,,,,,,,,,,,
TVTY,372.60,-,14.11,-,443.64,-11.09,-,-779.80%,-16.50%,-403.50%,3.50%
TW,2.73,62.89,43.43,4.10,0.00,0.94,0.54%,4.50%,4.10%,-41.20%,1.50%
TWCT,,,,,,,,,,,
TWCTU,,,,,,,,,,,
TWCTW,,,,,,,,,,,
TWIN,0.69,-,-,-,0.35,-2.83,-,-25.30%,-19.60%,37.40%,6.40%
TWNK,1.09,27.30,16.33,2.14,0.72,0.50,-,4.20%,4.80%,144.30%,0.20%
TWNKW,,,,,,,,,,,
TWOU,2.33,-,-,-,0.28,-3.45,-,-29.80%,-23.70%,65.60%,1.50%
TWST,13.80,-,-,-,0.02,-3.76,-,-67.50%,-68.30%,26.80%,2.80%
TXG,17.79,-,-,-,0.00,-1.35,-,-26.30%,-6.80%,-550.30%,2.10%
TXMD,-,-,-,-,-,-0.71,-,310.20%,-79.10%,9.70%,6.30%
TXN,17.92,30.75,28.04,3.08,0.82,5.29,2.51%,60.70%,34.10%,-2.80%,0.10%
TXRH,5.85,98.05,28.74,11.06,0.27,0.78,-,6.10%,19.60%,-19.90%,4.70%
TYHT,0.16,-,-,-,0.04,-1.94,-,-8.70%,-9.80%,47.80%,18.59%
TYME,10.18,-,-,-,0.01,-0.23,-,-219.10%,-,2.20%,39.30%
TZAC,1.00,-,-,-,0.05,-0.24,-,-1.50%,-,-278.70%,37.48%
TZACU,,,,,,,,,,,
TZACW,,,,,,,,,,,
TZOO,1043.00,-,29.80,-,17.00,-1.13,-,-459.80%,42.80%,-156.30%,40.14%
UAE,-,-,-,-,-,-,5.09%,-,-,-,-
UAL,1.94,-,-,-,3.90,-16.45,-,-49.70%,12.90%,-258.40%,0.10%
UBCP,1.05,10.37,9.22,1.21,0.35,1.24,4.45%,10.60%,23.30%,16.10%,0.90%
UBFO,1.04,12.41,-,-,0.09,0.58,6.07%,8.50%,24.20%,-45.60%,3.60%
UBOH,0.74,5.03,-,-,0.19,4.93,2.58%,15.90%,24.80%,117.00%,0.30%
UBSI,0.92,13.45,14.19,1.68,0.07,2.26,4.61%,6.90%,13.70%,23.60%,0.70%
UBX,3.29,-,-,-,0.25,-1.88,-,-84.60%,-,-3.90%,8.80%
UCBI,1.18,13.76,12.75,13.76,0.17,1.85,2.84%,8.80%,21.80%,-13.50%,0.60%
UCBIO,,,,,,,,,,,
UCL,-,-,-,-,0.33,-,-,-,20.90%,71.50%,-
UCTT,2.70,30.70,11.50,1.53,0.56,1.09,-,9.70%,2.70%,4780.00%,1.90%
UEIC,2.50,22.80,12.96,1.52,0.17,2.34,-,11.90%,2.50%,130.50%,3.10%
UEPS,0.70,-,42.00,-,0.02,-2.09,-,-,-14.90%,-289.80%,0.40%
UFCS,0.70,-,105.99,-,0.00,-5.13,2.61%,-14.80%,1.60%,-,0.40%
UFO,-,-,-,-,-,-,0.84%,-,-,-,-
UFPI,2.25,14.64,14.08,0.86,0.22,3.60,0.95%,16.70%,13.30%,49.30%,1.60%
UFPT,2.01,23.44,17.88,-,0.00,1.98,-,8.90%,12.80%,-47.50%,2.10%
UG,5.86,16.34,-,-,0.00,0.89,5.37%,37.00%,38.90%,-32.90%,37.23%
UHAL,1.75,16.42,44.04,1.09,0.00,25.88,-,11.40%,6.70%,70.30%,54.46%
UIHC,0.43,-,6.47,-,0.35,-1.65,5.30%,-14.30%,-4.50%,-161.30%,0.50%
UK,0.32,-,-,-,0.01,-0.35,-,-1.50%,-,-,22.84%
UKOMW,,,,,,,,,,,
ULBI,0.96,23.37,-,1.34,0.03,0.29,-,4.30%,4.70%,-54.50%,2.20%
ULH,2.62,14.76,7.14,4.92,2.05,1.50,1.90%,18.90%,8.00%,269.30%,72.94%
ULTA,8.97,57.68,26.15,52.58,0.45,4.89,-,15.50%,36.80%,-94.80%,0.20%
UMBF,1.16,17.05,15.52,-,0.09,4.06,1.85%,7.20%,22.00%,19.70%,0.50%
UMPQ,1.24,-,10.40,-,0.56,-7.41,5.87%,-47.80%,13.10%,-52.60%,0.10%
UNAM,,,,,,,,,,,
UNB,1.53,10.21,-,-,0.00,2.63,4.77%,15.70%,38.70%,51.20%,21.08%
UNIT,-,-,33.04,-,-,-3.49,5.75%,35.40%,10.60%,135.00%,0.79%
UNTY,1.11,8.59,7.92,-,0.06,2.05,1.81%,13.60%,28.60%,-0.40%,1.00%
UONE,1.47,-,-,-,-,-0.95,-,-,-,-,0.84%
UONEK,0.39,-,-,-,5.40,-0.95,-,-25.60%,7.20%,-348.80%,58.60%
UPLD,4.00,-,24.56,-,1.81,-2.59,-,-32.20%,-2.70%,17.10%,9.10%
UPWK,14.04,-,-,-,0.04,-0.27,-,-11.50%,-6.80%,28.70%,1.40%
URBN,2.04,-,14.90,-,0.09,-0.09,-,-0.20%,11.00%,-42.10%,42.08%
URGN,3.66,-,-,-,0.00,-6.39,-,-92.20%,-,-22.80%,0.10%
UROV,-,-,-,-,-,-5.15,-,242.90%,-,-32.70%,0.60%
USAK,1.04,-,7.45,-,2.20,-0.71,-,-7.80%,1.00%,259.90%,5.50%
USAP,0.28,-,-,-,0.26,-1.31,-,-4.80%,2.50%,-,5.10%
USAT,5.85,-,227.57,-,0.19,-0.57,-,-35.50%,-34.70%,45.60%,0.30%
USAU,3.70,-,-,-,0.00,-2.03,-,-56.80%,-,80.10%,12.60%
USCR,1.59,19.44,18.27,1.39,2.92,1.86,-,8.70%,5.10%,79.70%,4.20%
USEG,6.20,-,-,-,0.40,-4.58,-,-118.50%,-4.80%,-363.60%,27.51%
USIG,-,-,-,-,-,-,2.99%,-,-,-,-
USIO,1.59,-,-,-,0.05,-0.34,-,-50.80%,-68.00%,36.30%,10.60%
USLB,-,-,-,-,-,-,3.12%,-,-,-,-
USLM,2.65,24.12,-,-,0.00,4.61,0.58%,11.50%,11.20%,-6.20%,1.20%
USMC,-,-,-,-,-,-,1.83%,-,-,-,-
USOI,-,-,-,-,-,-,87.94%,-,-,-,-
USWS,-,-,-,-,-,-4.10,-,-,-19.40%,37.90%,15.35%
USWSW,,,,,,,,,,,
USXF,-,-,-,-,-,-,-,-,-,-,-
UTHR,1.78,12.42,10.95,-,0.24,10.57,-,15.50%,-3.60%,27.60%,0.20%
UTMD,3.24,28.23,-,-,0.00,3.10,1.30%,12.10%,14.10%,-19.00%,0.40%
UTSI,0.49,-,-,-,0.00,-0.51,-,-18.50%,-6.20%,-,70.60%
UVSP,0.84,15.40,11.43,3.85,0.60,1.25,4.17%,3.30%,15.90%,3.00%,0.70%
UXIN,-,-,-,-,-,-1.42,-,570.60%,-44.70%,37.20%,16.09%
VACQ,,,,,,,,,,,
VACQU,-,-,-,-,-,-,-,-,-,-,-
VACQW,,,,,,,,,,,
VALU,4.58,15.23,-,-,0.04,1.77,3.11%,31.60%,5.90%,39.30%,89.89%
VBFC,0.93,6.67,-,-,0.29,4.67,-,14.90%,29.40%,30.40%,59.10%
VBIV,4.73,-,-,-,-,-0.21,-,-,-,-,3.52%
VBLT,1.88,-,-,-,0.07,-0.57,-,-61.80%,-51.60%,10.90%,22.99%
VBTX,0.94,14.15,12.59,2.02,0.12,1.58,3.04%,6.80%,17.80%,-9.50%,2.80%
VC,8.89,-,28.48,-,0.90,-1.38,-,-9.60%,9.80%,-57.00%,0.20%
VCEL,9.83,24880.00,94.96,-,0.00,0.00,-,0.10%,-10.10%,2.80%,0.10%
VCIT,-,-,-,-,-,-,2.83%,-,-,-,-
VCLT,-,-,-,-,-,-,3.48%,-,-,-,-
VCNX,-,-,-,-,-,-1.70,-,113.00%,122.20%,21.50%,2.20%
VCSH,-,-,-,-,-,-,2.52%,-,-,-,-
VCTR,2.24,8.24,5.53,0.55,1.24,2.65,1.28%,32.60%,8.70%,115.10%,2.44%
VCVCU,-,-,-,-,-,-,-,-,-,-,-
VCYT,7.14,-,-,-,0.00,-0.68,-,-12.30%,-6.30%,-400.50%,0.90%
VECO,2.05,-,15.22,-,0.81,-0.86,-,-10.70%,-6.00%,104.80%,0.80%
VEON,-,-,5.48,-,-,-0.19,20.27%,-52.30%,13.10%,-,39.60%
VERB,2.09,-,-,-,0.21,-0.84,-,-183.30%,-113.50%,-32.00%,13.10%
VERBW,,,,,,,,,,,
VERI,19.45,-,-,-,0.00,-1.91,-,-122.70%,-132.10%,37.20%,3.60%
VERO,2.82,-,-,-,2.09,-2.88,-,-178.90%,-22.20%,89.90%,1.90%
VERU,4.97,-,-,-,0.30,-0.16,-,-30.40%,-13.80%,-2.80%,1.40%
VERX,17.15,-,114.36,-,0.01,-0.52,-,-,-52.60%,-273.00%,2.90%
VERY,0.78,-,-,-,0.14,-1.38,-,-10.20%,-8.40%,61.90%,10.69%
VETS,-,-,-,-,-,-,1.74%,-,-,-,-
VFF,3.64,-,-,-,-,-0.05,-,-,-,-,15.86%
VG,5.75,-,69.03,-,0.00,-0.10,-,-4.40%,1.30%,53.10%,4.90%
VGIT,-,-,-,-,-,-,1.72%,-,-,-,-
VGLT,-,-,-,-,-,-,1.99%,-,-,-,-
VGSH,-,-,-,-,-,-,1.49%,-,-,-,-
VIAC,1.54,8.98,8.62,-,1.35,4.05,2.64%,18.80%,13.10%,-2.40%,0.20%
VIACA,,,,,,,,,,,
VIAV,4.13,88.25,16.90,5.88,0.83,0.15,-,5.00%,4.00%,114.50%,1.00%
VICR,10.58,461.68,84.24,23.08,0.00,0.18,-,3.00%,6.30%,-8.10%,1.20%
VIE,5.39,-,-,-,0.00,-2.55,-,-34.00%,-25.30%,48.00%,0.20%
VIGI,-,-,-,-,-,-,1.79%,-,-,-,-
VIH,,,,,,,,,,,
VIHAU,,,,,,,,,,,
VIHAW,,,,,,,,,,,
VIOT,1.66,16.45,7.29,-,0.05,0.32,-,10.70%,17.80%,-52.50%,2.57%
VIR,4.79,-,-,-,0.00,-6.40,-,-47.10%,-41.90%,-52.30%,0.40%
VIRC,0.70,49.80,-,-,0.62,0.05,-,-,7.80%,-39.40%,12.30%
VIRT,2.04,5.63,9.85,-,2.11,4.12,4.14%,42.60%,-2.10%,-,10.10%
VISL,1.66,-,-,-,0.09,-2.74,-,-118.10%,-181.40%,92.90%,0.30%
VITL,7.17,221.33,728.78,-,0.06,0.14,-,-,15.10%,102.60%,27.20%
VIVE,7.87,-,-,-,0.52,-6.03,-,-279.00%,-182.40%,98.00%,0.01%
VIVO,3.30,17.79,17.76,1.05,0.00,1.07,-,20.90%,15.20%,55.70%,1.10%
VJET,2.07,-,-,-,1.14,-11.18,-,-53.30%,-23.60%,-8.00%,18.30%
VKTX,1.79,-,-,-,0.00,-0.50,-,-13.60%,-,-60.70%,9.30%
VKTXW,,,,,,,,,,,
VLDR,7.21,-,-,-,0.04,-0.29,-,-25.00%,-,90.50%,49.20%
VLDRW,,,,,,,,,,,
VLGEA,0.98,14.39,-,-,0.32,1.61,4.32%,7.40%,5.40%,65.10%,3.40%
VLY,0.89,12.24,9.73,2.45,0.67,0.78,4.62%,7.30%,14.90%,3.80%,0.50%
VLYPO,,,,,,,,,,,
VLYPP,,,,,,,,,,,
VMAC,,,,,,,,,,,
VMACU,-,-,-,-,-,-,-,-,-,-,-
VMACW,,,,,,,,,,,
VMAR,-,-,-,-,-,-,-,-,-,-,-
VMBS,-,-,-,-,-,-,2.13%,-,-,-,-
VMD,8.40,38.56,-,-,-,0.25,-,-,-,-1.70%,11.45%
VNDA,1.67,38.43,33.23,-,0.00,0.35,-,4.60%,26.60%,-94.10%,0.70%
VNET,3.44,-,-,-,1.03,-3.28,-,-45.10%,1.70%,217.90%,1.18%
VNOM,1.08,-,101.05,-,0.82,-2.39,3.47%,-20.70%,15.50%,-108.90%,0.30%
VNQI,-,-,-,-,-,-,7.78%,-,-,-,-
VOD,0.72,16.73,44.01,0.90,1.18,1.02,6.22%,-,2.10%,161.30%,0.20%
VONE,-,-,-,-,-,-,1.59%,-,-,-,-
VONG,-,-,-,-,-,-,0.81%,-,-,-,-
VONV,-,-,-,-,-,-,2.62%,-,-,-,-
VOXX,0.85,-,-,-,0.08,-0.84,-,-5.30%,-13.00%,222.70%,0.10%
VPN,-,-,-,-,-,-,-,-,-,-,-
VRA,0.93,67.44,8.16,4.41,0.10,0.12,-,1.50%,4.70%,144.30%,5.00%
VRAY,3.57,-,-,-,0.37,-0.86,-,-63.70%,-44.40%,9.70%,5.30%
VRCA,5.99,-,-,-,0.89,-1.50,-,-71.40%,-,-71.50%,33.20%
VREX,1.36,-,20.12,-,0.89,-1.46,-,0.80%,4.80%,-,0.47%
VRIG,-,-,-,-,-,-,1.88%,-,-,-,-
VRM,3.19,-,-,-,0.19,-,-,-,33.30%,-,5.90%
VRME,1.95,-,-,-,0.01,-1.94,-,-108.10%,-,50.30%,9.40%
VRMEW,,,,,,,,,,,
VRNA,1.62,-,-,-,-,-2.38,-,-,-,-,0.34%
VRNS,45.10,-,-,-,2.62,-2.88,-,-107.00%,-83.80%,-8.80%,2.60%
VRNT,2.98,229.26,15.11,16.38,0.81,0.24,-,1.30%,3.40%,-41.60%,2.00%
VRRM,6.04,298.95,65.59,301.97,2.45,0.04,-,2.10%,6.90%,-62.10%,0.50%
VRSK,13.15,48.55,36.09,4.39,1.30,4.04,0.55%,29.90%,10.70%,468.30%,0.40%
VRSN,-,28.89,34.27,3.61,-,6.93,-,-56.70%,305.70%,14.70%,1.10%
VRTS,2.09,25.70,7.62,1.78,3.55,7.18,1.78%,9.00%,3.30%,37.50%,0.40%
VRTU,3.57,38.80,18.91,2.77,0.95,1.29,-,9.90%,8.90%,29.60%,5.10%
VRTX,7.26,22.19,19.65,0.88,0.00,10.22,-,38.20%,14.70%,1060.40%,0.10%
VSAT,1.00,-,-,-,0.81,-0.04,-,-0.10%,1.20%,-42.40%,0.20%
VSDA,-,-,-,-,-,-,1.51%,-,-,-,-
VSEC,1.09,-,11.78,-,0.71,-0.12,1.04%,-0.30%,8.00%,-23.30%,0.10%
VSMV,-,-,-,-,-,-,2.16%,-,-,-,-
VSPR,,,,,,,,,,,
VSPRU,-,-,-,-,-,-,-,-,-,-,-
VSPRW,,,,,,,,,,,
VSTA,1.35,-,5.69,-,0.20,-,-,-,2.30%,-373.40%,-
VSTM,2.75,-,-,-,0.44,-0.92,-,-92.60%,-119.40%,119.10%,1.00%
VTC,-,-,-,-,-,-,2.95%,-,-,-,-
VTGN,13.00,-,-,-,0.12,-0.34,-,513.50%,-,59.00%,0.20%
VTHR,-,-,-,-,-,-,1.53%,-,-,-,-
VTIP,-,-,-,-,-,-,1.26%,-,-,-,-
VTNR,3.36,-,-,-,1.47,-0.56,-,-140.30%,-6.80%,-0.90%,6.30%
VTRN,,,,,,,,,,,
VTRS,0.71,-,4.14,-,0.98,-,-,-,-,-2.40%,0.44%
VTRU,-,158.04,22.13,3.20,1.06,0.09,-,-,-3.10%,-56.00%,24.22%
VTSI,3.20,-,29.71,-,0.13,-0.03,-,-1.90%,-1.80%,-8.50%,5.00%
VTVT,-,-,-,-,-,-0.35,-,25.30%,49.00%,75.20%,69.92%
VTWG,-,-,-,-,-,-,0.61%,-,-,-,-
VTWO,-,-,-,-,-,-,1.19%,-,-,-,-
VTWV,-,-,-,-,-,-,1.86%,-,-,-,-
VUZI,4.47,-,-,-,0.04,-0.74,-,-97.60%,-109.80%,26.80%,8.10%
VVPR,7.34,-,-,-,1.46,-0.36,-,-23.10%,-4.50%,-136.20%,55.75%
VWOB,-,-,-,-,-,-,4.61%,-,-,-,-
VXRT,5.97,-,-,-,0.00,-0.35,-,-45.80%,-126.00%,76.80%,0.10%
VXUS,-,-,-,-,-,-,2.60%,-,-,-,-
VYGR,1.79,7.66,-,-,0.00,1.04,-,38.00%,-51.90%,656.40%,14.07%
VYMI,-,-,-,-,-,-,3.81%,-,-,-,-
VYNE,5.67,-,-,-,0.67,-3.19,-,-487.90%,-,35.90%,1.60%
WABC,1.79,19.21,19.06,6.40,0.00,2.86,2.99%,10.10%,18.00%,-1.40%,3.99%
WAFD,0.92,10.73,14.11,1.53,0.00,2.28,3.60%,8.60%,21.00%,-31.40%,0.90%
WAFU,1.99,-,-,-,0.00,-0.40,-,-20.80%,-19.60%,-202.40%,73.04%
WASH,1.36,10.79,12.43,2.16,0.24,3.84,4.92%,12.90%,21.40%,-2.10%,0.10%
WATT,4.04,-,-,-,0.00,-0.92,-,-173.40%,-204.30%,32.20%,2.90%
WB,3.77,19.81,16.48,13.63,0.67,2.13,-,21.30%,6.00%,86.30%,7.22%
WBA,1.67,80.65,7.69,11.54,0.81,0.49,4.69%,2.10%,2.40%,-42.80%,0.30%
WBND,-,-,-,-,-,-,2.54%,-,-,-,-
WCLD,-,-,-,-,-,-,-,-,-,-,-
WDAY,17.43,-,77.41,-,0.58,-1.46,-,-12.30%,-13.30%,79.80%,0.70%
WDC,1.51,-,7.90,-,0.98,-0.11,-,-0.40%,0.70%,78.80%,0.40%
WDFC,21.32,56.77,46.83,5.68,0.71,4.41,1.07%,40.30%,22.80%,14.30%,1.30%
WEN,9.32,47.11,30.55,4.18,5.31,0.46,1.29%,21.40%,6.70%,-11.00%,7.40%
WERN,2.34,17.74,13.08,1.48,0.15,2.26,0.90%,13.90%,12.10%,18.90%,0.50%
WETF,2.31,-,18.59,-,0.59,-0.33,2.68%,-16.30%,2.40%,-126.20%,0.90%
WEYS,0.90,-,-,-,0.03,-0.50,5.47%,-2.40%,9.60%,-190.70%,14.60%
WHF,0.89,8.66,10.00,1.67,-,1.57,10.44%,-,-,215.60%,5.20%
WHFBZ,,,,,,,,,,,
WHLM,1.20,-,-,-,0.23,-2.00,-,-57.60%,-19.20%,113.30%,17.80%
WHLR,-,-,-,-,-,-1.59,-,68.90%,3.40%,52.90%,11.40%
WHLRD,,,,,,,,,,,
WHLRP,,,,,,,,,,,
WIFI,7.78,-,-,-,2.07,-0.42,-,-21.40%,-1.40%,-,4.00%
WILC,1.51,16.34,-,1.09,0.01,1.19,-,10.20%,6.80%,108.70%,58.00%
WIMI,-,22.21,34.88,-,0.21,0.27,-,-,21.50%,-72.60%,-
WINA,-,23.44,-,-,-,7.71,0.55%,-269.60%,81.50%,8.20%,4.80%
WINC,-,-,-,-,-,-,3.77%,-,-,-,-
WING,-,114.52,88.52,5.16,-,1.10,0.44%,-16.60%,37.10%,69.80%,0.40%
WINT,1.42,-,-,-,0.24,-2.29,-,-42.70%,-28.20%,18.10%,0.50%
WIRE,1.31,17.21,15.50,1.72,0.00,3.02,0.15%,7.90%,6.90%,30.50%,3.67%
WISA,2.16,-,-,-,0.10,-6.88,-,-253.30%,-,85.80%,5.20%
WIX,52.04,-,670.24,-,3.08,-3.26,-,-78.70%,-14.60%,-200.70%,1.67%
WKEY,-,-,-,-,-,-,-,-,-,-,-
WKHS,-,-,-,-,-,-2.48,-,602.00%,-102.90%,-351.00%,3.30%
WLDN,2.76,-,17.12,-,0.68,-0.64,-,-4.40%,3.20%,502.50%,5.00%
WLFC,0.55,14.35,-,0.96,4.02,2.34,-,4.00%,4.20%,-90.70%,18.00%
WLTW,2.63,25.07,17.56,3.90,0.53,8.48,1.28%,10.30%,6.80%,65.30%,0.30%
WMG,-,-,29.78,-,-,-0.75,1.60%,186.60%,12.70%,-,4.80%
WNEB,0.72,17.44,16.12,1.74,0.00,0.38,3.03%,4.20%,22.20%,-32.20%,1.80%
WOOD,-,-,-,-,-,-,0.93%,-,-,-,-
WORX,3.59,-,-,-,0.00,-1.33,-,-189.50%,-164.80%,-345.50%,0.50%
WPRT,6.75,-,36.18,-,-,-0.08,-,-,-,-83.50%,13.90%
WRAP,,,,,,,,,,,
WRLD,2.12,18.60,16.45,12.40,1.16,6.28,-,11.30%,3.30%,538.00%,4.60%
WSBC,0.77,18.13,14.82,1.81,0.07,1.63,4.34%,4.10%,12.70%,-10.00%,1.10%
WSBCP,,,,,,,,,,,
WSBF,1.09,7.16,12.92,-,0.00,2.51,2.67%,16.00%,10.50%,156.30%,3.20%
WSC,2.29,103.53,26.67,2.55,1.20,0.20,-,3.30%,4.80%,2215.10%,1.50%
WSFS,1.09,20.88,13.43,1.74,0.10,1.92,1.20%,5.50%,18.40%,-0.60%,0.90%
WSG,1.65,-,5.47,-,4.49,-2.51,-,-129.00%,-24.70%,-67.90%,-
WSTG,2.11,23.83,-,1.08,0.00,0.89,3.22%,8.90%,13.70%,-62.00%,4.60%
WTBA,1.52,10.32,9.26,-,0.20,1.92,4.24%,15.20%,23.00%,7.30%,0.80%
WTER,14.00,-,-,-,0.89,-0.27,-,-340.10%,-161.60%,7.70%,7.70%
