,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
AZPN,17.37,41.22,26.43,20.61,0.83,3.16,-,49.30%,23.20%,-38.00%,0.40%
AZRX,1.98,-,-,-,0.00,-0.88,-,-472.30%,-,-181.20%,11.09%
AZYO,-,-,-,-,-,-2.23,-,-,28.80%,-69.20%,8.20%
BAND,11.87,-,432.87,-,0.89,-1.09,-,-8.50%,0.00%,-124.80%,0.90%
BANF,1.84,19.57,17.61,2.80,0.03,3.00,2.32%,9.70%,23.20%,-37.10%,0.10%
BANFP,,,,,,,,,,,
BANR,1.00,14.89,13.60,2.13,0.13,3.13,3.52%,5.80%,24.60%,-9.80%,0.70%
BANX,0.92,29.30,11.81,-,-,0.66,7.90%,-,-,197.50%,0.18%
BASI,17.83,-,307.50,-,4.24,-0.43,-,-50.70%,-8.10%,-690.90%,7.60%
BATRA,3.76,-,-,-,2.11,-1.35,-,-15.90%,-2.60%,-409.00%,3.81%
BATRK,3.78,-,-,-,-,-2.70,-,-,-,-,10.00%
BBBY,1.30,-,16.72,-,0.76,-1.88,3.83%,-11.10%,-16.40%,255.90%,1.00%
BBCP,0.75,-,30.40,-,1.41,-1.14,-,-20.30%,0.50%,2.70%,7.40%
BBGI,0.17,-,8.28,-,1.01,-0.86,-,-9.00%,5.80%,-174.90%,3.80%
BBH,-,-,-,-,-,-,0.29%,-,-,-,-
BBI,1.16,-,-,-,0.03,-2.41,-,-187.40%,-291.40%,90.70%,0.80%
BBIG,1.09,-,-,-,0.64,-1.38,-,-17.80%,-92.90%,31.30%,13.60%
BBIO,51.16,-,-,-,2.88,-3.42,-,-132.00%,-53.30%,-91.40%,7.40%
BBQ,1.48,7.46,-,0.75,0.96,0.65,-,46.10%,-3.30%,626.80%,0.90%
BBSI,2.64,13.73,13.83,0.92,0.02,4.97,1.76%,21.60%,21.40%,-25.90%,1.60%
BCAB,-,-,-,-,-,-0.72,-,-,22.20%,-,4.00%
BCBP,0.78,10.86,12.92,1.09,0.15,1.02,5.06%,7.20%,25.80%,58.00%,6.10%
BCDA,10.48,-,-,-,0.12,-1.96,-,-496.90%,-613.90%,51.50%,9.90%
BCDAW,,,,,,,,,,,
BCEL,2.15,-,-,-,0.00,-2.82,-,-43.20%,-,-16.30%,1.30%
BCLI,5.45,-,-,-,0.00,-1.02,-,-339.90%,-,43.10%,0.90%
BCML,0.70,13.51,9.25,1.35,0.28,1.12,-,5.40%,22.60%,-40.60%,3.50%
BCOR,2.13,-,9.58,-,1.54,-5.75,-,-64.30%,6.60%,57.50%,0.70%
BCOV,9.84,-,51.11,-,0.00,-0.38,-,-20.30%,-29.20%,142.00%,1.50%
BCOW,,,,,,,,,,,
BCPC,4.53,45.20,34.14,1.88,0.24,2.55,0.50%,10.60%,8.60%,4.10%,0.10%
BCRX,39.21,-,-,-,2.26,-0.76,-,-328.70%,-84.10%,23.30%,0.60%
BCTG,-,-,-,-,-,-,-,-,-,-,21.57%
BCYC,3.18,-,-,-,0.13,-2.07,-,-42.70%,-27.90%,1.50%,29.90%
BDGE,0.92,9.51,9.04,-,0.15,2.54,3.97%,9.90%,21.30%,19.30%,4.10%
BDSI,4.42,30.43,10.19,1.22,0.82,0.14,-,18.10%,2.90%,2550.60%,1.50%
BDSX,-,-,-,-,-,-,-,-,13.90%,-,4.20%
BDTX,3.52,-,-,-,0.00,-1.72,-,-22.30%,-,-75.60%,2.10%
BEAM,20.46,-,-,-,0.03,-3.10,-,-107.10%,-,-40.00%,1.70%
BEAT,6.24,149.23,34.70,5.97,0.40,0.48,-,4.60%,7.60%,-19.70%,2.89%
BECN,1.57,-,12.16,-,1.57,-1.53,-,-6.00%,1.00%,206.50%,0.20%
BEEM,32.79,-,-,-,0.02,-0.77,-,-55.80%,-54.60%,-39.30%,2.00%
BEEMW,,,,,,,,,,,
BELFA,,,,,,,,,,,
BELFB,1.04,63.96,20.87,-,-,0.24,1.86%,-,-,-,3.28%
BFC,,,,,,,,,,,
BFI,1.23,-,-,-,0.06,-0.23,-,-1.70%,-,-290.30%,21.10%
BFIIW,,,,,,,,,,,
BFIN,0.76,13.14,17.74,1.64,0.00,0.67,4.56%,5.80%,25.30%,-48.60%,0.30%
BFIT,-,-,-,-,-,-,0.35%,-,-,-,-
BFRA,10.75,-,-,-,-,-0.76,-,-,-,-,-
BFST,1.05,15.24,11.91,-,0.36,1.34,1.96%,6.50%,23.10%,15.10%,1.30%
BGCP,1.99,33.61,5.80,2.69,1.82,0.12,1.00%,6.60%,4.80%,627.90%,8.06%
BGFV,1.02,6.28,8.10,-,0.03,1.63,3.92%,18.70%,4.50%,332.20%,1.60%
BGNE,5.33,-,-,-,0.05,-21.27,-,-57.10%,-85.60%,5.90%,20.70%
BGRN,-,-,-,-,-,-,2.93%,-,-,-,-
BHAT,0.69,3.19,-,-,0.04,0.28,-,-,17.80%,-88.40%,64.75%
BHF,0.18,-,3.13,-,0.22,-16.52,-,-6.00%,-2.60%,-636.10%,0.41%
BHFAL,,,,,,,,,,,
BHFAN,-,-,-,-,-,-,-,-,-,-,-
BHFAO,,,,,,,,,,,
BHFAP,,,,,,,,,,,
BHSE,,,,,,,,,,,
BHSEU,-,-,-,-,-,-,-,-,-,-,4.21%
BHSEW,,,,,,,,,,,
BHTG,-,-,-,-,-,-0.63,-,255.60%,-21.60%,-27.00%,6.30%
BIB,-,-,-,-,-,-,-,-,-,-,-
BICK,-,-,-,-,-,-,0.56%,-,-,-,-
BIDU,2.73,20.10,20.77,14.74,0.39,10.76,-,14.10%,2.20%,317.50%,15.60%
BIGC,27.41,-,-,-,0.14,-0.45,-,-,19.00%,35.80%,20.60%
BIIB,3.57,8.11,9.71,-,0.69,30.21,-,42.40%,30.50%,-46.80%,0.63%
BILI,24.01,-,-,-,1.07,-1.15,-,-33.30%,-14.60%,-147.40%,20.88%
BIMI,1.33,-,-,-,0.36,-0.03,-,-,-19.50%,-169.60%,49.33%
BIOC,2.35,-,-,-,0.11,-3.96,-,-125.10%,-178.70%,82.60%,0.02%
BIOL,2.45,-,-,-,1.17,-0.50,-,-,-112.90%,14.70%,11.08%
BIS,-,-,-,-,-,-,0.76%,-,-,-,-
BIVI,7.10,-,-,-,0.00,-7.53,-,-,-,-,0.30%
BJK,-,-,-,-,-,-,2.82%,-,-,-,-
BJRI,2.78,-,85.34,-,0.41,-1.16,-,-8.50%,11.10%,-264.50%,0.90%
BKCC,0.63,-,6.11,-,-,-1.67,14.87%,-,-,-,1.75%
BKEP,0.23,-,10.47,-,0.00,-0.22,8.04%,-2.80%,5.60%,626.10%,0.50%
BKEPP,,,,,,,,,,,
BKNG,18.56,66.77,39.92,23.01,2.40,33.36,-,29.90%,29.10%,-57.00%,0.20%
BKSC,1.63,13.93,-,-,0.00,1.15,4.24%,12.30%,30.70%,-17.00%,2.60%
BKYI,1.04,-,-,-,0.01,-8.24,-,-381.00%,-,49.70%,7.80%
BL,18.25,-,244.73,-,0.96,-0.70,-,-9.70%,-3.80%,7.60%,1.00%
BLBD,-,41.13,10.80,2.74,-,0.44,-,-19.60%,16.00%,3.00%,1.90%
BLCM,-,-,-,-,-,-11.06,-,207.60%,-832.00%,97.40%,0.32%
BLCN,-,-,-,-,-,-,0.54%,-,-,-,-
BLCT,-,-,28.86,-,-,-0.90,-,-,3.80%,149.30%,1.28%
BLDP,11.64,-,-,-,0.04,-0.19,-,-15.10%,-10.20%,-14.00%,0.50%
BLDR,4.73,22.35,13.82,4.47,1.59,1.83,-,24.00%,14.10%,9.20%,1.50%
BLFS,6.75,-,428.92,-,0.00,-0.27,-,-7.40%,26.30%,-108.80%,2.30%
BLI,22.98,-,-,-,0.08,-,-,-,13.70%,-,0.40%
BLIN,3.07,-,-,-,0.34,-0.83,-,163.70%,-18.30%,-112.30%,1.36%
BLKB,6.29,123.25,20.82,-,1.15,0.47,-,5.60%,3.30%,5.90%,0.20%
BLMN,323.67,-,17.14,-,225.08,-1.38,-,-166.40%,15.10%,-290.20%,0.80%
BLNK,82.21,-,-,-,0.06,-0.45,-,-152.10%,-133.60%,-24.80%,0.30%
BLNKW,,,,,,,,,,,
BLPH,1.38,-,-,-,0.00,-3.31,-,-79.20%,-,11.20%,7.63%
BLRX,2.00,-,-,-,-,-1.97,-,-,-,-,-
BLSA,-,-,-,-,-,-,-,-,-,-,-
BLU,1.59,-,-,-,0.01,-0.60,-,-33.20%,-,48.90%,3.30%
BLUE,1.88,-,-,-,0.00,-10.98,-,-45.80%,-63.40%,21.10%,0.40%
BLUWU,-,-,-,-,-,-,-,-,-,-,-
BMCH,3.27,27.80,18.80,1.61,0.32,1.93,-,12.60%,8.90%,32.40%,0.70%
BMLP,,,,,,,,,,,
BMRA,4.65,-,48.35,-,0.00,-0.32,-,-40.10%,-17.00%,-170.20%,11.60%
BMRC,1.30,15.01,17.73,1.50,0.01,2.29,2.68%,9.00%,24.50%,-20.00%,0.60%
BMRN,3.92,20.27,797.18,0.43,0.36,4.33,-,25.00%,-0.70%,1326.00%,0.20%
BMTC,0.99,18.41,12.37,2.63,0.20,1.66,3.53%,5.50%,16.80%,-18.80%,1.20%
BND,-,-,-,-,-,-,2.29%,-,-,-,-
BNDW,-,-,-,-,-,-,2.73%,-,-,-,-
BNDX,-,-,-,-,-,-,3.19%,-,-,-,-
BNFT,-,-,-,-,-,-1.03,-,76.60%,-9.70%,51.70%,1.10%
BNGO,28.00,-,-,-,1.09,-0.75,-,-748.80%,-114.90%,86.20%,0.06%
BNGOW,,,,,,,,,,,
BNR,6.08,-,-,-,0.02,-0.68,-,-53.40%,20.50%,36.40%,-
BNSO,2.42,108.31,-,-,0.13,0.07,-,2.70%,2.20%,240.20%,53.50%
BNTC,0.43,-,-,-,0.00,-9.09,-,-,-,-,16.04%
BNTX,17.20,-,5.05,-,0.34,-,-,-,-31.40%,-314.60%,1.18%
BOCH,0.95,12.66,12.61,1.81,0.00,0.78,2.42%,7.90%,24.70%,1.60%,0.40%
BOKF,0.92,12.34,10.74,1.76,0.45,5.55,3.04%,7.70%,18.20%,9.40%,0.30%
BOKFL,,,,,,,,,,,
BOMN,1.96,-,70.90,-,0.06,-0.61,-,-3.90%,-3.40%,356.70%,4.95%
BOOM,3.77,-,89.36,-,0.07,-0.42,-,2.10%,19.20%,-85.50%,1.70%
BOSC,0.85,-,-,-,0.23,-0.36,-,-12.80%,-3.80%,123.30%,24.20%
BOTJ,0.80,11.02,-,-,0.15,1.10,2.31%,7.50%,32.10%,-0.30%,6.90%
BOTZ,-,-,-,-,-,-,0.30%,-,-,-,-
BOWX,,,,,,,,,,,
BOWXU,-,-,-,-,-,-,-,-,-,-,-
BOWXW,,,,,,,,,,,
BOXL,1.53,-,38.25,-,0.51,-0.62,-,-80.70%,-141.80%,-116.90%,1.00%
BPFH,0.82,16.73,13.46,1.64,0.13,0.51,2.84%,5.10%,22.60%,14.10%,0.90%
BPMC,4.69,20.65,-,0.93,0.00,5.43,-,43.70%,-77.80%,679.30%,1.00%
BPOP,0.80,10.04,10.05,2.01,0.15,5.61,2.84%,8.50%,23.00%,17.70%,1.10%
BPOPM,,,,,,,,,,,
BPOPN,,,,,,,,,,,
BPRN,,,,,,,,,,,
BPTH,0.98,-,-,-,0.00,-3.00,-,-62.90%,-,-3.00%,1.02%
BPY,0.54,-,-,-,0.00,-1.00,9.19%,-,0.80%,-,0.84%
BPYPN,,,,,,,,,,,
BPYPO,,,,,,,,,,,
BPYPP,,,,,,,,,,,
BPYU,0.36,8.36,-,-,9.58,1.79,8.90%,12.00%,0.90%,-638.60%,0.87%
BPYUP,,,,,,,,,,,
BREZ,-,-,-,-,-,-,-,-,-,-,-
BREZR,,,,,,,,,,,
BREZW,,,,,,,,,,,
BRID,2.30,24.69,-,-,0.43,0.74,-,9.70%,8.00%,183.50%,80.98%
BRKL,1.02,22.09,13.14,3.68,0.18,0.55,3.82%,4.60%,19.80%,-16.50%,2.30%
BRKR,8.72,53.23,31.49,7.83,0.87,1.02,0.30%,17.20%,12.70%,-10.70%,25.20%
BRKS,4.13,77.10,32.10,6.43,0.04,0.88,0.59%,5.50%,5.40%,174.80%,1.30%
BRLI,-,-,-,-,-,-,-,-,-,-,-
BRLIR,,,,,,,,,,,
BRLIU,-,-,-,-,-,-,-,-,-,-,-
BRLIW,,,,,,,,,,,
BROG,7.19,-,-,-,-,-0.70,-,-,-31.30%,35.20%,5.21%
BROGW,,,,,,,,,,,
BRP,4.44,-,36.20,-,0.45,-0.27,-,-9.70%,-10.40%,-57.90%,0.90%
BRPA,20.50,-,-,-,0.78,-0.01,-,-0.20%,-,-577.30%,71.78%
BRPAR,,,,,,,,,,,
BRPAU,,,,,,,,,,,
BRPAW,,,,,,,,,,,
BRQS,-,-,-,-,-,-0.95,-,-,107.20%,-956.20%,26.85%
BRY,0.38,-,-,-,0.51,-2.58,-,-24.30%,5.70%,-136.40%,0.10%
BSAE,-,-,-,-,-,-,3.76%,-,-,-,-
BSBE,,,,,,,,,,,
BSBK,0.88,61.45,-,-,0.00,0.15,-,1.60%,13.80%,48.20%,0.80%
BSCE,,,,,,,,,,,
BSCL,-,-,-,-,-,-,2.26%,-,-,-,-
BSCM,-,-,-,-,-,-,2.34%,-,-,-,-
BSCN,-,-,-,-,-,-,2.42%,-,-,-,-
BSCO,-,-,-,-,-,-,2.46%,-,-,-,-
BSCP,-,-,-,-,-,-,2.52%,-,-,-,-
BSCQ,-,-,-,-,-,-,2.51%,-,-,-,-
BSCR,-,-,-,-,-,-,2.55%,-,-,-,-
BSCS,-,-,-,-,-,-,2.58%,-,-,-,-
BSCT,-,-,-,-,-,-,2.43%,-,-,-,-
BSCU,,,,,,,,,,,
BSDE,-,-,-,-,-,-,3.61%,-,-,-,-
BSET,1.30,-,14.55,-,0.01,-2.22,2.49%,-13.40%,-0.40%,3.70%,3.70%
BSGM,4.06,-,-,-,0.00,-2.23,-,-257.40%,-,-53.40%,8.20%
BSJL,-,-,-,-,-,-,4.11%,-,-,-,-
BSJM,-,-,-,-,-,-,4.33%,-,-,-,-
BSJN,-,-,-,-,-,-,4.77%,-,-,-,-
BSJO,-,-,-,-,-,-,4.61%,-,-,-,-
BSJP,-,-,-,-,-,-,5.14%,-,-,-,-
BSJQ,-,-,-,-,-,-,4.80%,-,-,-,-
BSJR,-,-,-,-,-,-,4.57%,-,-,-,-
BSJS,,,,,,,,,,,
BSML,-,-,-,-,-,-,0.87%,-,-,-,-
BSMM,-,-,-,-,-,-,1.02%,-,-,-,-
BSMN,-,-,-,-,-,-,1.02%,-,-,-,-
BSMO,-,-,-,-,-,-,1.21%,-,-,-,-
BSMP,-,-,-,-,-,-,1.35%,-,-,-,-
BSMQ,-,-,-,-,-,-,1.66%,-,-,-,-
BSMR,-,-,-,-,-,-,1.55%,-,-,-,-
BSMS,-,-,-,-,-,-,1.76%,-,-,-,-
BSMT,,,,,,,,,,,
BSMU,,,,,,,,,,,
BSQR,2.34,-,-,-,0.19,-0.24,-,-33.70%,-96.20%,87.90%,5.90%
BSRR,1.08,10.28,10.17,1.28,0.10,2.33,3.34%,11.10%,24.10%,16.00%,8.50%
BSVN,,,,,,,,,,,
BSY,1350.33,95.54,63.30,6.78,81.93,0.42,0.30%,-,20.80%,-71.50%,39.60%
BTAI,4.82,-,-,-,0.00,-3.37,-,-74.20%,-,-87.60%,39.80%
BTAQ,-,-,-,-,-,-,-,-,-,-,-
BTAQU,,,,,,,,,,,
BTAQW,,,,,,,,,,,
BTBT,46.62,-,-,-,0.00,-,-,-,-272.60%,101.30%,25.65%
BTEC,-,-,-,-,-,-,-,-,-,-,-
BTWN,-,-,-,-,-,-,-,-,-,-,-
BTWNU,-,-,-,-,-,-,-,-,-,-,-
BTWNW,,,,,,,,,,,
BUG,-,-,-,-,-,-,0.57%,-,-,-,-
BUSE,0.94,11.77,11.77,1.96,0.23,1.83,4.08%,8.20%,17.10%,26.20%,2.70%
BVXV,-,-,-,-,-,-3.21,-,209.00%,-,46.60%,37.10%
BWAC,,,,,,,,,,,
BWACU,-,-,-,-,-,-,-,-,-,-,-
BWACW,,,,,,,,,,,
BWAY,4.57,-,-,-,-,-0.65,-,-,-,-,2.89%
BWB,1.35,11.90,12.37,0.79,0.32,1.05,-,12.10%,22.80%,-7.10%,15.90%
BWEN,3.17,-,26.79,-,0.49,-0.07,-,-2.60%,-4.30%,-7.50%,3.40%
BWFG,0.87,17.00,12.22,-,0.14,1.15,2.86%,5.10%,23.40%,-26.80%,13.50%
BWMX,4.36,-,13.66,-,0.00,-0.01,4.52%,-0.20%,-,67.10%,90.26%
BXRX,-,-,-,-,-,-5.85,-,168.90%,-,154.80%,1.10%
BYFC,1.02,-,-,-,0.07,-0.01,-,-0.30%,20.40%,13.00%,26.60%
BYND,20.59,-,534.19,-,0.13,-0.45,-,-7.30%,-0.10%,-597.10%,3.00%
BYSI,15.44,-,-,-,0.09,-2.04,-,-220.70%,-,-29.60%,71.55%
BZUN,2.34,41.09,20.36,8.51,0.45,0.84,-,9.70%,6.00%,62.60%,0.82%
CAAS,0.66,-,17.33,-,0.17,0.00,-,0.00%,1.30%,-44.70%,0.30%
CABA,2.47,-,-,-,0.00,-1.24,-,-23.00%,-,-75.00%,3.30%
CAC,1.03,9.60,11.54,-,0.11,3.73,3.69%,11.30%,20.70%,18.70%,0.80%
CACC,2.68,15.13,13.63,0.76,2.00,22.88,-,19.20%,12.40%,55.40%,12.30%
CACG,-,-,-,-,-,-,0.52%,-,-,-,-
CAKE,5.05,-,24.11,-,1.17,-4.36,-,-45.90%,10.50%,-307.60%,7.09%
CALA,2.82,-,-,-,0.00,-1.39,-,-66.60%,-,14.60%,0.72%
CALB,,,,,,,,,,,
CALM,1.84,41.25,22.85,0.58,0.00,0.91,0.72%,4.60%,0.00%,57.70%,7.10%
CALT,-,-,-,-,-,-,-,-,-,-,-
CAMP,3.46,-,22.70,-,1.87,-3.03,-,-85.90%,-18.10%,-212.20%,2.40%
CAMT,5.58,46.62,30.14,3.11,0.00,0.47,0.78%,13.00%,14.70%,42.00%,62.70%
CAN,11.19,-,-,-,0.09,-0.91,-,-148.10%,-128.60%,-192.20%,-
CAPA,,,,,,,,,,,
CAPAU,,,,,,,,,,,
CAPAW,,,,,,,,,,,
CAPR,2.23,-,-,-,0.12,-1.07,-,-55.80%,-75.80%,53.90%,0.50%
CAR,-,-,12433.33,-,-,-6.52,-,-251.50%,4.90%,-74.30%,0.30%
CARA,5.54,-,-,-,0.00,-2.12,-,-64.40%,-59.40%,52.30%,2.00%
CARE,0.65,-,22.81,-,0.00,-1.71,-,-9.70%,22.80%,-857.90%,2.40%
CARG,10.61,55.09,28.82,2.01,0.00,0.58,-,22.40%,14.70%,211.90%,2.10%
CARV,0.87,-,-,-,0.00,-1.31,-,-49.40%,420.40%,24.50%,2.00%
CARZ,-,-,-,-,-,-,-,-,-,-,-
CASA,10.82,-,20.50,-,6.09,-0.29,-,-58.30%,-9.90%,140.20%,0.80%
CASH,1.50,12.51,9.06,-,0.12,2.92,0.55%,12.70%,24.30%,-28.70%,1.20%
CASI,3.78,-,-,-,0.00,-0.45,-,-63.00%,-64.30%,-42.90%,4.10%
CASS,2.22,22.61,-,-,2.13,1.72,2.78%,10.20%,4.60%,-28.70%,0.80%
CASY,3.56,20.26,22.40,2.74,0.73,8.82,0.76%,19.20%,10.40%,36.10%,0.20%
CATB,0.84,-,-,-,0.00,-2.14,-,-73.70%,-,0.20%,0.13%
CATC,1.23,16.22,11.30,-,0.03,4.30,3.04%,7.60%,23.40%,22.70%,0.20%
CATH,-,-,-,-,-,-,1.21%,-,-,-,-
CATM,4.70,69.35,18.97,-,2.67,0.51,-,6.70%,6.30%,-72.30%,0.60%
CATY,1.08,11.40,11.39,1.43,0.06,2.82,3.85%,9.70%,20.80%,-21.80%,0.80%
CBAN,0.99,14.39,12.42,2.06,0.27,1.02,2.73%,6.20%,26.20%,23.00%,0.40%
CBAT,19.46,-,-,-,1.97,-0.14,-,-51.90%,-20.20%,101.60%,60.17%
CBAY,2.53,-,-,-,0.00,-0.94,-,-37.80%,-,56.70%,0.40%
CBFV,0.81,-,14.29,-,0.00,-1.68,4.80%,-6.10%,26.90%,-569.80%,6.80%
CBIO,1.48,-,-,-,0.00,-3.10,-,-55.20%,-,31.30%,0.40%
CBLI,-,-,-,-,-,-0.20,-,76.10%,52.50%,-44.00%,56.41%
CBMB,0.88,68.10,-,-,0.00,0.20,-,1.30%,11.80%,-6.60%,13.97%
CBMG,20.65,-,-,-,2.77,-2.83,-,-145.40%,-72.80%,-6.40%,45.09%
CBNK,1.29,9.14,9.57,-,0.12,1.52,-,15.10%,39.60%,90.90%,6.00%
CBPO,2.42,33.16,22.12,2.75,0.00,3.56,-,7.90%,8.00%,-18.20%,48.20%
CBRL,5.29,33.18,15.97,-,1.60,3.98,3.94%,18.70%,9.70%,300.40%,1.70%
CBSH,2.31,24.47,20.17,-,0.00,2.69,1.64%,10.00%,22.10%,19.30%,2.20%
CBTX,1.17,22.12,22.05,-,0.00,1.15,1.57%,5.30%,22.60%,-50.30%,4.10%
CCAP,-,-,8.19,-,-,-,11.26%,-,-,1305.50%,16.14%
CCB,,,,,,,,,,,
CCBG,1.16,12.78,14.39,2.13,0.15,1.92,2.44%,9.50%,24.00%,22.50%,14.00%
CCCC,-,-,-,-,-,-,-,-,32.40%,-,1.60%
CCD,-,-,-,-,-,-,7.10%,-,-,-,13.93%
CCLP,-,-,-,-,-,-1.10,3.77%,-225.20%,4.90%,-247.00%,0.50%
CCMP,4.09,31.35,20.01,2.41,0.86,4.83,1.16%,13.80%,9.30%,279.80%,0.80%
CCNC,2.28,-,-,-,0.02,-0.03,-,-,-7.00%,-292.90%,13.60%
CCNE,0.98,9.39,10.01,-,0.20,2.27,3.19%,10.70%,27.00%,-31.30%,1.50%
CCNEP,,,,,,,,,,,
CCOI,-,137.95,63.22,-,-,0.43,4.88%,-8.80%,11.20%,-136.30%,0.60%
CCRC,0.92,3.73,-,-,0.03,1.00,-,29.50%,14.80%,-6.80%,34.51%
CCRN,2.16,-,28.99,-,0.00,-0.52,-,-12.10%,-21.20%,57.70%,1.90%
CCXI,10.55,-,-,-,0.06,-0.67,-,-17.20%,-68.00%,-58.00%,3.30%
CD,-,-,-,-,1.25,-0.11,-,-,-0.90%,-7.40%,-
CDAK,-,-,-,-,-,-0.98,-,-,43.80%,8.70%,2.80%
CDC,-,-,-,-,-,-,2.79%,-,-,-,-
CDEV,0.16,-,-,-,0.41,-2.12,-,-20.50%,1.70%,-,3.50%
CDK,-,22.94,14.34,2.29,-,2.26,1.16%,-30.20%,20.60%,-26.30%,0.40%
CDL,-,-,-,-,-,-,3.82%,-,-,-,-
CDLX,25.96,-,-,-,1.14,-1.67,-,-32.20%,-12.10%,-70.80%,3.10%
CDMO,13.26,-,192.33,-,0.00,-0.09,-,-10.60%,-23.60%,114.40%,6.98%
CDMOP,,,,,,,,,,,
CDNA,13.22,-,240.70,-,0.00,-0.45,-,-10.90%,-22.80%,-34.40%,2.10%
CDNS,15.61,35.46,47.60,2.30,0.29,3.85,-,48.30%,40.90%,59.60%,0.80%
CDTX,2.94,-,-,-,0.27,-1.65,-,-165.60%,-87.30%,-619.50%,0.90%
CDW,15.18,26.00,19.70,2.63,3.17,5.07,1.21%,71.00%,22.20%,-2.60%,0.20%
CDXC,15.00,-,-,-,0.01,-0.38,-,-116.20%,-,45.30%,0.40%
CDXS,14.18,-,-,-,0.00,-0.35,-,-21.20%,-11.90%,-,0.70%
CDZI,-,-,-,-,-,-1.19,-,100.10%,-17.10%,53.50%,0.80%
CECE,1.23,16.61,14.20,1.11,0.38,0.42,-,7.50%,8.40%,-112.50%,5.30%
CEFA,,,,,,,,,,,
CELC,6.84,-,-,-,0.00,-0.85,-,-52.60%,-,-24.30%,39.00%
CELH,35.68,661.97,359.36,-,0.10,0.08,-,7.70%,-2.00%,313.20%,0.70%
CEMI,2.81,-,-,-,0.54,-1.21,-,-77.60%,-30.50%,-23.20%,13.89%
CENT,1.91,17.41,17.35,2.32,0.64,2.22,-,11.80%,9.20%,484.10%,13.70%
CENTA,1.85,16.51,15.93,2.80,-,2.20,-,-,-,456.90%,6.26%
CENX,1.52,-,81.70,-,0.58,-1.04,-,-7.30%,-6.60%,-28.90%,0.80%
CERC,5.18,-,-,-,0.00,-0.92,-,-,-78.20%,-161.30%,0.20%
CERE,-,-,-,-,-,-27.28,-,-,-,-,21.96%
CEREW,,,,,,,,,,,
CERN,5.45,30.69,24.37,2.91,0.00,2.56,1.12%,19.10%,8.90%,350.50%,0.14%
CERS,10.48,-,-,-,0.41,-0.40,-,-63.50%,-65.50%,33.40%,1.00%
CERT,-,-,-,-,0.76,-0.01,-,-,2.20%,121.50%,6.40%
CETX,0.45,-,-,-,0.47,-3.04,-,-,-18.50%,72.30%,12.17%
CETXP,,,,,,,,,,,
CETXW,,,,,,,,,,,
CEVA,3.93,-,64.45,-,0.00,-0.01,-,0.00%,-1.30%,-196.40%,1.30%
CEY,-,-,-,-,-,-,4.80%,-,-,-,-
CEZ,-,-,-,-,-,-,2.04%,-,-,-,-
CFA,-,-,-,-,-,-,1.40%,-,-,-,-
CFACU,-,-,-,-,-,0.00,-,-,-,-,2.13%
CFB,0.91,162.88,16.04,-,0.00,0.07,-,0.60%,17.90%,-25.00%,0.60%
CFBI,,,,,,,,,,,
CFBK,1.12,4.90,6.65,-,0.14,3.61,0.68%,23.30%,20.20%,163.40%,12.63%
CFFI,0.72,7.26,-,-,0.49,5.11,4.10%,10.30%,25.20%,30.90%,0.20%
CFFN,1.34,26.71,23.58,5.34,0.00,0.47,2.72%,5.00%,13.50%,-18.30%,0.20%
CFII,,,,,,,,,,,
CFIIU,-,-,-,-,-,-,-,-,-,-,-
CFIIW,,,,,,,,,,,
CFIVU,-,-,-,-,-,-,-,-,-,-,-
CFMS,2.54,-,-,-,0.00,-0.34,-,-174.00%,-70.10%,35.40%,3.20%
CFO,-,-,-,-,-,-,1.04%,-,-,-,-
CFRX,7.65,-,-,-,0.00,-2.49,-,-226.00%,-,118.40%,8.76%
CG,5.00,-,14.71,-,3.28,-0.60,3.18%,-10.80%,16.50%,50.50%,28.10%
CGBD,0.68,-,6.97,-,1.27,-0.20,12.48%,-0.70%,5.00%,452.60%,0.20%
CGC,4.66,-,-,-,-,-1.79,-,-,-,-,39.05%
CGEN,7.92,-,-,-,0.00,-0.37,-,-27.00%,-,6.00%,12.00%
CGIX,1.34,-,-,-,0.04,-1.85,-,-76.50%,-59.00%,75.50%,7.79%
CGNX,9.27,75.67,65.33,5.04,0.00,1.06,0.29%,13.50%,13.50%,106.70%,0.20%
CGO,1.49,-,-,-,-,-1.17,8.18%,-,-,-,14.88%
CGRO,1.87,-,-,-,0.00,-,-,-,-,-,-
CGROU,-,-,-,-,-,-,-,-,-,-,-
CGROW,,,,,,,,,,,
CHB,,,,,,,,,,,
CHCI,6.74,8.15,-,0.81,1.45,0.39,-,128.60%,26.40%,169.90%,4.10%
CHCO,1.60,12.58,17.27,1.57,0.00,5.53,3.34%,13.10%,20.90%,-8.40%,1.00%
CHDN,20.68,843.25,38.27,70.27,5.82,0.23,0.32%,-23.30%,8.40%,188.50%,0.30%
CHEF,2.47,-,-,-,1.06,-0.96,-,-16.90%,5.90%,-313.20%,13.10%
CHEK,0.94,-,-,-,0.00,-1.01,-,-112.20%,-,79.50%,8.59%
CHEKZ,,,,,,,,,,,
CHFS,0.70,-,-,-,0.00,-83.90,-,-236.90%,-905.70%,95.80%,0.01%
CHI,1.37,-,-,-,-,-0.08,7.09%,-,-,-,7.49%
CHKP,5.52,22.65,19.21,3.02,0.00,5.87,-,24.60%,20.90%,14.10%,24.80%
